"","gene_id","age","probe_id"
"1","AT1G01010","MC","261585_at"
"2","AT1G01030","MC","261568_at"
"3","AT1G01040","UC","261584_at"
"4","AT1G01050","UC","261579_at"
"5","AT1G01060","MC","261569_at"
"6","AT1G01070","MC","261576_at"
"7","AT1G01080","MC","261577_at"
"8","AT1G01090","UC","261583_at"
"9","AT1G01100","UC","261578_at"
"10","AT1G01110","MC","261580_at"
"11","AT1G01120","UC","261570_at"
"12","AT1G01140","UC","261581_at"
"13","AT1G01150","MC","261571_at"
"14","AT1G01160","MC","261582_at"
"15","AT1G01170","MC","261572_at"
"16","AT1G01190","MC","261574_at"
"17","AT1G01200","UC","261042_at"
"18","AT1G01220","UC","261043_at"
"19","AT1G01225","MC","261025_at"
"20","AT1G01230","UC","261057_at"
"21","AT1G01240","MC","261026_at"
"22","AT1G01250","MC","261059_at"
"23","AT1G01260","MC","261050_at"
"24","AT1G01280","UC","261051_at"
"25","AT1G01290","UC","261044_at"
"26","AT1G01300","MC","261055_at"
"27","AT1G01310","MC","261045_at"
"28","AT1G01320","MC","261054_at"
"29","AT1G01320","MC","261053_at"
"30","AT1G01340","MC","261027_at"
"31","AT1G01360","MC","261056_at"
"32","AT1G01370","MC","261058_at"
"33","AT1G01380","MC","257490_x_at"
"34","AT1G01390","MC","261046_at"
"35","AT1G01410","MC","261047_at"
"36","AT1G01420","MC","261048_at"
"37","AT1G01430","MC","261049_at"
"38","AT1G01440","MC","261052_at"
"39","AT1G01460","MC","259425_at"
"40","AT1G01470","MC","259426_at"
"41","AT1G01480","UC","259439_at"
"42","AT1G01490","MC","259434_at"
"43","AT1G01530","MC","259427_at"
"44","AT1G01540","MC","259437_at"
"45","AT1G01550","MC","259440_at"
"46","AT1G01560","UC","259428_at"
"47","AT1G01570","MC","259433_at"
"48","AT1G01600","UC","259429_at"
"49","AT1G01610","MC","259430_at"
"50","AT1G01620","UC","259431_at"
"51","AT1G01630","UC","261563_at"
"52","AT1G01640","MC","261586_at"
"53","AT1G01650","UC","257484_at"
"54","AT1G01710","UC","261560_at"
"55","AT1G01720","MC","261564_at"
"56","AT1G01725","MC","261535_at"
"57","AT1G01730","MC","261561_at"
"58","AT1G01750","UC","261562_at"
"59","AT1G01760","UC","261592_at"
"60","AT1G01770","UC","261558_at"
"61","AT1G01780","UC","261559_at"
"62","AT1G01790","MC","261536_at"
"63","AT1G01800","UC","261537_at"
"64","AT1G01820","UC","261534_at"
"65","AT1G01830","MC","261538_at"
"66","AT1G01840","MC","261539_at"
"67","AT1G01860","UC","261652_at"
"68","AT1G01900","UC","261653_at"
"69","AT1G01910","UC","261627_at"
"70","AT1G01920","MC","261654_at"
"71","AT1G01930","UC","261625_at"
"72","AT1G01940","UC","261655_at"
"73","AT1G01950","MC","261656_at"
"74","AT1G01960","UC","261621_at"
"75","AT1G01970","MC","261622_at"
"76","AT1G01980","UC","261623_at"
"77","AT1G01990","MC","261626_at"
"78","AT1G02000","UC","261624_at"
"79","AT1G02020","UC","264169_at"
"80","AT1G02050","UC","264175_at"
"81","AT1G02060","MC","264167_at"
"82","AT1G02070","MC","264151_at"
"83","AT1G02080","UC","264168_at"
"84","AT1G02090","UC","264150_at"
"85","AT1G02100","UC","264171_at"
"86","AT1G02110","MC","264176_at"
"87","AT1G02120","MC","264172_at"
"88","AT1G02130","UC","264122_at"
"89","AT1G02140","UC","264152_at"
"90","AT1G02150","MC","264177_at"
"91","AT1G02160","MC","264173_at"
"92","AT1G02170","UC","264178_at"
"93","AT1G02180","MC","264179_at"
"94","AT1G02190","MC","264180_at"
"95","AT1G02205","MC","264146_at"
"96","AT1G02205","MC","264147_at"
"97","AT1G02220","MC","264148_at"
"98","AT1G02260","UC","264170_at"
"99","AT1G02270","UC","264123_at"
"100","AT1G02280","UC","264121_at"
"101","AT1G02300","UC","259441_at"
"102","AT1G02305","UC","259416_at"
"103","AT1G02310","UC","259442_at"
"104","AT1G02330","UC","259415_at"
"105","AT1G02340","MC","259417_at"
"106","AT1G02360","UC","259443_at"
"107","AT1G02370","MC","259444_at"
"108","AT1G02390","MC","259418_at"
"109","AT1G02400","MC","259445_at"
"110","AT1G02410","UC","259446_at"
"111","AT1G02420","MC","259414_at"
"112","AT1G02450","MC","260904_at"
"113","AT1G02460","MC","260903_at"
"114","AT1G02470","UC","260933_at"
"115","AT1G02475","MC","260916_at"
"116","AT1G02500","UC","260913_at"
"117","AT1G02550","MC","260931_at"
"118","AT1G02560","UC","260912_at"
"119","AT1G02575","MC","260907_at"
"120","AT1G02580","UC","260908_at"
"121","AT1G02640","UC","260914_at"
"122","AT1G02660","MC","260915_at"
"123","AT1G02680","UC","260929_at"
"124","AT1G02690","UC","260910_at"
"125","AT1G02700","MC","260917_at"
"126","AT1G02710","MC","260905_at"
"127","AT1G02720","UC","260928_at"
"128","AT1G02730","MC","262109_at"
"129","AT1G02740","UC","262108_at"
"130","AT1G02750","MC","262107_at"
"131","AT1G02780","UC","262117_at"
"132","AT1G02790","MC","262122_at"
"133","AT1G02800","UC","262121_at"
"134","AT1G02810","MC","262105_at"
"135","AT1G02813","MC","262115_at"
"136","AT1G02816","MC","262116_at"
"137","AT1G02820","MC","262113_at"
"138","AT1G02830","UC","262132_at"
"139","AT1G02840","UC","262110_at"
"140","AT1G02850","UC","262118_at"
"141","AT1G02860","MC","262114_at"
"142","AT1G02870","UC","262112_at"
"143","AT1G02890","MC","262130_at"
"144","AT1G02900","MC","262131_at"
"145","AT1G02910","UC","262104_at"
"146","AT1G02940","UC","262103_at"
"147","AT1G02950","UC","262120_at"
"148","AT1G02960","MC","262111_at"
"149","AT1G02970","MC","262106_at"
"150","AT1G03000","MC","263170_at"
"151","AT1G03010","MC","263169_at"
"152","AT1G03020","MC","263168_at"
"153","AT1G03030","UC","263167_at"
"154","AT1G03040","MC","263117_at"
"155","AT1G03050","MC","263166_at"
"156","AT1G03055","MC","263115_at"
"157","AT1G03060","UC","263165_at"
"158","AT1G03070","UC","263164_at"
"159","AT1G03080","MC","263112_at"
"160","AT1G03090","UC","263118_at"
"161","AT1G03110","MC","263119_at"
"162","AT1G03130","UC","263114_at"
"163","AT1G03150","UC","263113_at"
"164","AT1G03160","UC","263163_at"
"165","AT1G03170","MC","264363_at"
"166","AT1G03180","UC","264358_at"
"167","AT1G03190","UC","264356_at"
"168","AT1G03210","UC","264355_at"
"169","AT1G03250","MC","264366_at"
"170","AT1G03260","UC","264353_at"
"171","AT1G03270","UC","264352_at"
"172","AT1G03280","UC","264368_at"
"173","AT1G03290","MC","264362_at"
"174","AT1G03300","MC","264361_at"
"175","AT1G03310","MC","264360_at"
"176","AT1G03320","MC","264359_at"
"177","AT1G03330","UC","264364_at"
"178","AT1G03350","MC","264367_at"
"179","AT1G03360","UC","264357_at"
"180","AT1G03380","MC","264828_at"
"181","AT1G03390","MC","264827_at"
"182","AT1G03430","MC","264838_at"
"183","AT1G03440","MC","264840_at"
"184","AT1G03445","UC","264823_at"
"185","AT1G03457","UC","264822_at"
"186","AT1G03470","MC","264821_at"
"187","AT1G03475","UC","264820_at"
"188","AT1G03510","MC","264819_at"
"189","AT1G03520","MC","264844_at"
"190","AT1G03530","MC","264818_at"
"191","AT1G03540","MC","264817_at"
"192","AT1G03550","UC","264835_at"
"193","AT1G03560","MC","264816_at"
"194","AT1G03590","MC","264833_at"
"195","AT1G03600","MC","264837_at"
"196","AT1G03610","MC","264836_at"
"197","AT1G03620","MC","264815_at"
"198","AT1G03630","UC","264839_at"
"199","AT1G03680","MC","264845_at"
"200","AT1G03687","UC","264831_at"
"201","AT1G03700","MC","264842_at"
"202","AT1G03710","MC","264830_at"
"203","AT1G03720","MC","264825_at"
