"","GV_6d_exp_value","6d_exp_value","6d_ref_exp_value"
"244901_at",4.55367462082546,4.39116421874609,4.36376607505602
"244902_at",4.59585152898437,4.62865636691417,4.71233206580692
"244903_at",5.83944340207527,5.7459938050985,5.56780168572182
"244904_at",5.06621758839555,4.98068397216247,4.86598918872439
"244905_at",3.66146304901632,3.69481010879093,3.65697664302848
"244906_at",5.75707237458042,5.51521030379687,5.8149325350424
"244907_at",3.28681796969236,3.30580021749811,3.28771403349386
"244908_at",3.32637916665614,3.36504875543948,3.33022537642291
"244909_at",3.37953380580339,3.41203327125168,3.44034871571552
"244910_s_at",3.17389083717706,3.21579585301856,3.27930807134211
"244911_at",2.83544311096517,2.87042744760685,2.83305186748355
"244912_at",9.7243584206891,9.58674768997192,9.92030679030701
"244913_at",4.71248016966306,4.67528376904385,4.63873308631681
"244914_at",3.38246210295005,3.35507560159832,3.17899957438803
"244915_s_at",4.05929157513146,4.03319689043194,3.99629171947699
"244916_at",3.47668300787765,3.40835492008165,3.47134265676095
"244917_at",3.56868266207112,3.68691884424498,3.66196947604411
"244918_at",2.98895742157869,3.029025909917,3.098580391265
"244919_at",4.58969360443735,4.60461057906079,4.58988513246084
"244920_s_at",8.70493724388478,8.48709135491627,8.96467913804831
"244921_s_at",7.6130591598617,7.44700635973592,7.79713512628619
"244922_s_at",5.41551340667935,5.61018975307685,5.60114766023921
"244923_s_at",5.25765818361938,5.58780338904285,5.48996912243656
"244924_at",4.93161060177875,4.89535591462774,4.88202483249798
"244925_at",3.62320785146671,3.54963543319842,3.59400374940811
"244926_s_at",3.75066429334228,3.66772565413387,3.69225027912498
"244927_at",4.52295259094986,4.35835654504945,4.56382354966596
"244928_s_at",5.85848848473587,6.31776371267319,6.45117986958209
"244929_at",8.80736982303147,8.92543435342827,9.07753044612
"244930_at",3.15557253917828,3.09765171425947,3.07737982462565
"244931_at",3.40663774159536,3.44540921271903,3.43695559563962
"244932_at",7.90336980250085,7.49122730613903,8.41072824783542
"244933_at",7.71474656962714,7.68957466626211,8.30801553006042
"244934_at",4.82720959903174,5.05226671070116,5.69695943327356
"244935_at",9.42042312831991,9.41958084337909,9.74296779276687
"244936_at",8.09915574391282,7.95390160623793,8.71317937151675
"244937_at",5.37508639504631,5.5980200376098,5.8092241737655
"244938_at",7.16877297680776,7.81725880638322,7.77929606896863
"244939_at",7.00888047095359,6.71126138899164,7.21045927205419
"244940_at",9.54020304164766,9.36576484265847,9.87801085418065
"244941_at",4.11899916325685,3.97589472765294,3.95581479267718
"244942_at",3.76493521707025,3.89094269063802,3.84825302364583
"244943_at",4.94810268676195,4.91209176292489,5.05456544321044
"244944_s_at",7.93242965151786,8.67117999620845,8.44719692329503
"244945_at",4.07371061656928,4.27276110685058,4.35732584478557
"244946_at",4.72611136216258,4.78264365966922,4.92778691045957
"244947_at",3.43000683778536,3.38737398258852,3.37876543490962
"244948_at",3.40540349949124,3.28377323588387,3.35485079931768
"244949_at",3.56497306228703,3.51555722418336,3.45839240652269
"244950_at",4.30167454799154,4.29751385976477,4.42163942819979
"244951_s_at",6.59048509095589,6.82127552650666,7.14611156162741
"244952_at",3.45386780395389,3.46425935992424,3.70162000966303
"244953_s_at",3.98183122707295,4.12376345437566,4.36354409320249
"244954_s_at",3.08907910534558,3.11705588307584,3.07726842651897
"244955_at",3.18476112321337,3.29739584103618,3.09419494628907
"244956_s_at",3.58948466439993,3.61173651434141,3.57323615364902
"244957_at",3.95163373659592,3.9564487667931,3.97081574666585
"244958_at",3.78589588074529,3.72346631601783,3.73762025549985
"244959_s_at",7.05020150209916,7.11059631628356,7.34031918270966
"244960_at",9.40868591461573,9.48506419351488,9.77174670042402
"244961_at",10.9908163421469,10.8220327343641,11.1693039391003
"244962_at",10.4370796784786,10.1471933446054,10.7731412207647
"244963_at",10.7747802661387,10.5560883789943,10.929034267529
"244964_at",9.90047110579461,9.65148635459505,10.1492839724976
"244965_at",9.79228267935228,9.97659586604345,10.5574232742124
"244966_at",5.76945329145155,6.13468004148753,6.43707652418076
"244967_at",11.8153080970786,11.8804814584178,12.296136639748
"244968_at",10.1852678985882,10.1471301779686,10.2845961159962
"244969_at",8.65904799247453,8.80052534696224,8.844345029378
"244970_at",6.94932137967737,7.3927740837608,7.62793889067955
"244971_at",10.9277744828683,10.7894861195822,11.1500926502483
"244972_at",8.88429615292953,8.52396131587997,8.96406783275247
"244973_at",8.01121410486441,8.4296576818574,8.62630949765759
"244974_at",6.61462128260645,6.34615490109183,6.24700222849277
"244975_at",10.1467802990962,9.81092367374892,10.3827685200997
"244976_at",12.3925361424461,12.0787437532684,12.4259637996925
"244977_at",4.56561738980549,4.27932974824797,4.57465661263517
"244978_at",10.3859085439932,10.4938602392182,10.6922823208575
"244979_at",10.4353480881673,10.455093496883,10.8250884800833
"244980_at",9.32755860080914,9.53859404403154,9.76386120618744
"244981_at",8.52388962193498,8.55064488108247,9.07619329924821
"244982_at",8.17311880603206,8.46268378276601,8.76938143800884
"244983_at",9.99638816858828,10.0649992668019,10.2624925277198
"244984_at",9.9690920425888,9.92852415278969,10.1459534806261
"244985_at",9.22036845912729,9.22322924163938,9.67497518424941
"244986_at",10.5447412955467,10.4689346674082,10.7098974188783
"244987_s_at",12.0206726609286,11.9101183902515,12.1254236215112
"244988_s_at",10.8066421490257,10.5441048982639,11.1112970098518
"244989_s_at",4.17865762486819,4.08939364201851,4.12517918464655
"244990_s_at",3.93055728304839,3.63680096491441,3.87778958929441
"244991_s_at",4.17758897936382,4.05572812702461,4.07160087612657
"244992_s_at",11.157647461764,11.0495286046869,11.4655415487484
"244993_s_at",8.74774098522517,9.01536004426574,9.20402246677194
"244994_at",4.85040461741162,5.66869187301918,6.1371562341145
"244995_at",6.0612210369091,6.11953046216059,6.4940881714327
"244996_at",8.06616565549989,8.22478422134012,8.3859691489778
"244997_at",8.09656655140644,8.13152128182024,8.517024009262
"244998_at",8.36551403247342,8.52927183409569,9.13710104524627
"244999_at",4.72379919362694,5.44275639667981,5.90600243106764
"245000_at",6.39114358597988,6.77029868801333,6.94206202982262
"245001_at",12.2375286900871,12.024951048373,12.5489294999765
"245002_at",8.99118644882703,8.26956897879448,8.59645884389442
"245003_at",10.2384580180791,9.76954792996553,9.72579438786278
"245004_at",10.015967415414,10.0036523661812,10.1185594255269
"245005_at",4.76115948308197,5.50753699360843,6.07091631767926
"245006_at",12.4175102934599,12.0638814031125,12.3086975420799
"245007_at",10.7263018643025,10.1879229048291,10.911979262472
"245008_at",7.66258010677575,7.92185967360749,8.02350228682225
"245009_at",12.1207173426309,11.9923602698453,12.2141956016479
"245010_at",7.48506167063006,7.07873885510455,7.48169316776071
"245011_at",7.03101963015597,6.64735284508931,7.00764495965414
"245012_at",10.1481698361736,10.0831710744995,10.2228389448301
"245013_at",12.3300536590121,12.0183141432883,12.2222158261523
"245014_at",12.2501595351599,11.9354333957018,12.1381684787648
"245015_at",9.08774173562128,8.71791243167867,9.00697796886152
"245016_at",8.56413666388584,8.58275327963425,9.12280699383795
"245017_at",9.82024596111722,9.93868081511838,10.2855013823045
"245018_at",8.77074276902751,8.1961132938918,8.84125834846959
"245019_at",10.0754819147926,9.54102574469047,10.1236530786562
"245020_at",9.57962995353093,9.12466906936283,9.45731514909579
"245021_at",9.57438990255796,9.60526561056265,9.80084448482571
"245022_at",8.43326352467705,8.45076916541171,8.62031717720094
"245023_at",9.78960471513988,9.78280712948946,10.0992800507264
"245024_at",11.5021082460632,11.2136343685162,11.6712449621372
"245025_at",9.93447858553981,9.9036747411344,10.2996418559116
"245026_at",10.1928573091882,10.0848320713954,10.5251962541523
"245027_at",5.51749545835258,5.74866542568309,5.62408308724979
"245028_at",6.71598863409913,6.35203303470595,6.52345461753184
