ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
259009_at,0.000889,7.15E-08,22.4028168,8.16249,2.25127667,PYK10,beta-glucosidase 23
247604_at,0.000889,9.33E-08,21.5713167,7.99119,1.35101,COBL5,COBRA-like protein 5
260557_at,0.000889,1.65E-07,19.885812,7.60484,2.61963667,AT2G43610,chitinase family protein
248686_at,0.000889,1.80E-07,19.6405827,7.54382,0.77833333,AT5G48540,receptor-like protein kinase-related family protein
264299_s_at,0.000889,2.53E-07,18.7163566,7.30169,2.41963333,AT1G78860///AT1G78850,curculin-like (mannose-binding) lectin family protein///curculin-like (mannose-binding) lectin family protein
263497_at,0.000889,2.90E-07,-18.3496464,7.2,-0.74545333,COR15A,cold-regulated protein 15a
260568_at,0.000889,3.09E-07,18.185186,7.15329,1.50637333,CHI,putative chitinase
263495_at,0.000889,3.59E-07,-17.803228,7.04212,-0.93401333,COR15B,cold-regulated protein 15b
254759_at,0.000889,3.59E-07,17.7997086,7.04107,0.94823333,AT4G13180,Rossmann-fold NAD(P)-binding domain-containing protein
250028_at,0.000889,4.16E-07,-17.432678,6.93052,-0.56531667,AT5G18130,hypothetical protein
264987_at,0.000889,4.29E-07,17.3545455,6.9065,0.68519333,AT1G27030,hypothetical protein
245555_at,0.000939,4.94E-07,17.0071806,6.79761,1.10534333,AT4G15390,HXXXD-type acyl-transferase family protein
259382_s_at,0.000964,5.56E-07,16.7212477,6.70532,1.05765,JAL31///PBP1,jacalin-related lectin 31///PYK10-binding protein 1
251188_at,0.000964,6.09E-07,-16.5042153,6.63361,-0.75019333,AT3G62730,hypothetical protein
252827_at,0.000964,6.50E-07,16.3490761,6.58146,1.96375667,CYP79B2,tryptophan N-monooxygenase 1
247327_at,0.000964,6.76E-07,16.2567478,6.55006,1.44508667,AT5G64120,peroxidase 71
254828_at,0.001007,7.91E-07,15.8945473,6.4242,1.07733667,AIR1,auxin-Induced in Root cultures 1
260882_at,0.001007,8.32E-07,15.7798883,6.38345,0.56718333,WRKY65,putative WRKY transcription factor 65
252604_at,0.001007,8.38E-07,-15.7624839,6.37722,-1.0719,NRT2.6,high affinity nitrate transporter 2.6
257673_at,0.001139,1.03E-06,15.3093828,6.21148,1.11341,AT3G20370,TRAF-like family protein
AFFX-DapX-M_at,0.001139,1.05E-06,15.2634947,6.19428,1.27163333,,
248763_at,0.001167,1.13E-06,15.1081462,6.13552,0.75732,AT5G47550,cysteine proteinase inhibitor 5
255904_at,0.001322,1.33E-06,14.7439642,5.99423,0.64937333,AT1G17860,kunitz family trypsin and protease inhibitor protein
246000_at,0.001366,1.46E-06,14.5532644,5.91822,0.49894,AT5G20820,SAUR-like auxin-responsive family protein
266353_at,0.001366,1.50E-06,14.4942971,5.89442,0.79766333,MLP328,MLP-like protein 328
260556_at,0.001366,1.56E-06,14.4174424,5.86321,1.72048333,AT2G43620,chitinase family protein
258140_at,0.001529,1.85E-06,14.0578865,5.71396,1.24784667,ALDH2C4,aldehyde dehydrogenase 2C4
259596_at,0.001529,1.88E-06,14.0325054,5.70322,1.02419,GH3.17,indole-3-acetic acid-amido synthetase GH3.17
252677_at,0.001564,2.02E-06,13.8817452,5.63888,0.60185667,NIT3,nitrilase 3
266167_at,0.001564,2.10E-06,13.8050924,5.60579,0.95457,YLS5,protease I (pfpI)-like protein YLS5
257798_at,0.001564,2.13E-06,13.7823347,5.59592,0.92009333,NAI2,TSK-associating protein 1-like protein
251847_at,0.00157,2.20E-06,13.7104823,5.5646,0.91692333,TSA1,tryptophan synthase alpha chain
258130_at,0.001597,2.31E-06,13.6159291,5.52304,1.24125333,AT3G24510,defensin-like protein 259
261826_at,0.001642,2.45E-06,13.5026662,5.47273,0.5094,PMEPCRA,methylesterase PCR A
254818_at,0.001882,2.89E-06,13.1823855,5.3273,0.95561667,AZI1,azelaic acid induced 1
252209_at,0.00198,3.24E-06,-12.9623022,5.22458,-0.49001667,AT3G50400,GDSL esterase/lipase
245328_at,0.00198,3.26E-06,12.9496849,5.21862,0.69451,AHL20,AT-hook motif nuclear-localized protein 20
261006_at,0.00198,3.30E-06,12.9270005,5.20788,0.6319,AT1G26410,FAD-binding and BBE domain-containing protein
267567_at,0.00198,3.39E-06,12.880893,5.18599,2.26195333,CYP71A13,"cytochrome P450, family 71, subfamily A, polypeptide 13"
258075_at,0.001989,3.49E-06,12.8246476,5.15914,0.54716,HMT-1,homocysteine S-methyltransferase 1
257315_at,0.002012,3.62E-06,-12.7574637,5.12686,-0.79456667,ERD5,proline dehydrogenase 1
251882_at,0.002127,3.92E-06,-12.6104901,5.05546,-0.59343333,PTR1,peptide transporter PTR1
247884_at,0.002218,4.25E-06,-12.4599242,4.98118,-0.44969333,CER3,protein ECERIFERUM 3
263216_s_at,0.002218,4.28E-06,12.4489102,4.9757,1.107,AT1G30730///AT1G30720,FAD-binding and BBE domain-containing protein///FAD-binding Berberine family protein
255999_at,0.002305,4.56E-06,12.3325233,4.91741,0.60961,WRKY71,putative WRKY transcription factor 71
AFFX-r2-Bs-phe-5_at,0.002305,4.65E-06,12.2986805,4.90032,0.89938667,,
262099_s_at,0.002441,5.03E-06,12.157946,4.82863,0.43404667,GH3.4///BRU6,indole-3-acetic acid-amido synthetase GH3.4///indole-3-acetic acid-amido synthetase GH3.2
254385_s_at,0.002446,5.23E-06,12.0890318,4.79313,0.49798,MSRB8///MSRB7,methionine sulfoxide reductase B8///peptide methionine sulfoxide reductase B7
261585_at,0.002446,5.26E-06,12.0800621,4.78849,0.48617667,NAC001,NAC domain-containing protein 1
263005_at,0.002497,5.59E-06,-11.9717281,4.73211,-0.7279,AT1G54540,late embryogenesis abundant hydroxyproline-rich glycoprotein
250014_at,0.002497,5.64E-06,11.9558921,4.72381,0.61696,TRP1,anthranilate phosphoribosyltransferase
250239_at,0.002497,5.69E-06,-11.9396207,4.71528,-0.66029,AT5G13580,ABC transporter G family member 6
249895_at,0.002642,6.23E-06,-11.7833781,4.63253,-0.87168667,FAR1,fatty acyl-CoA reductase 1
264998_at,0.002642,6.25E-06,11.7759948,4.62858,0.47291333,AT1G67330,hypothetical protein
256647_at,0.002647,6.45E-06,11.7235143,4.60046,1.31336667,AT3G13610,feruloyl CoA ortho-hydroxylase 1
253301_at,0.002647,6.51E-06,-11.7058467,4.59095,-0.52213,AT4G33720,putative pathogenesis-related protein
262119_s_at,0.002647,6.62E-06,11.6793648,4.57668,1.55966667,GSTF6///GSTF7,glutathione S-transferase F6///glutathione S-transferase F7
258257_at,0.002742,6.97E-06,11.5898656,4.52811,0.47603667,AT3G26770,NAD(P)-binding Rossmann-fold superfamily protein
AFFX-r2-Bs-dap-M_at,0.002803,7.25E-06,11.5230636,4.49156,1.25037333,,
245885_at,0.003205,8.44E-06,-11.268838,4.35003,-0.42548,EXL4,protein exordium like 4
246097_at,0.003205,8.57E-06,-11.2431564,4.33552,-0.4359,HHP1,heptahelical transmembrane protein1
265414_at,0.00322,8.75E-06,-11.2085961,4.31592,-0.45143333,AT2G16660,Major facilitator superfamily protein
249334_at,0.003408,9.41E-06,11.089219,4.24766,0.66003333,YSL4,putative metal-nicotianamine transporter YSL4
246781_at,0.00347,9.82E-06,-11.0204,4.2079,-0.47864667,SFP1,sugar transporter ERD6-like 17
AFFX-ThrX-M_at,0.00347,9.89E-06,11.0088605,4.20121,0.84773,,
250083_at,0.003539,1.04E-05,-10.9283186,4.15423,-0.58393667,GSTF12,glutathione S-transferase phi 12
245226_at,0.003539,1.04E-05,10.9276798,4.15386,2.45865333,AT3G29970,B12D protein
267384_at,0.003555,1.06E-05,10.8967098,4.13569,0.51270667,AT2G44370,cysteine/histidine-rich C1 domain-containing protein
260784_at,0.003587,1.09E-05,10.8585303,4.1132,0.33613667,MYB13,myb domain protein 13
250230_at,0.003753,1.15E-05,-10.7634899,4.0568,-0.36590333,AT5G13900,lipid transfer-like protein VAS
247359_at,0.003849,1.20E-05,-10.698871,4.01812,-0.58645333,AT5G63560,HXXXD-type acyl-transferase-like protein
250909_at,0.003849,1.21E-05,10.6787813,4.00603,0.62874,AT5G03700,D-mannose binding lectin protein with Apple-like carbohydrate-binding domain
259430_at,0.003908,1.25E-05,-10.6300993,3.97664,-0.45224667,GPAT4,bifunctional sn-glycerol-3-phosphate 2-O-acyltransferase/phosphatase
AFFX-DapX-5_at,0.003908,1.27E-05,10.6114121,3.96532,1.21688333,,
265588_at,0.003996,1.31E-05,10.5557204,3.93143,1.16503333,AT2G19970,putative pathogenesis-related protein
254975_at,0.00405,1.35E-05,10.5137222,3.90573,0.67066,AT4G10500,"oxidoreductase, 2OG-Fe(II) oxygenase family protein"
252640_at,0.004153,1.40E-05,-10.454672,3.8694,-0.38174333,FAR8,fatty acyl-CoA reductase 8
266976_at,0.00439,1.52E-05,10.3316537,3.79293,0.33781333,AT2G39410,alpha/beta-Hydrolases superfamily protein
254952_at,0.00439,1.53E-05,-10.3156834,3.78293,-0.45248333,UGE5///AT4G10955,UDP-glucose 4-epimerase 5///UDP-glucose 4-epimerase 5
250738_at,0.00439,1.54E-05,10.3102198,3.7795,0.72237,ASA1,anthranilate synthase component I-1
AFFX-PheX-M_at,0.004587,1.63E-05,10.2241219,3.72523,0.68731667,,
246855_at,0.004685,1.71E-05,10.1512934,3.6789,0.74424333,AT5G26280,TRAF-like family protein
266514_at,0.004685,1.73E-05,-10.1340281,3.66786,-0.49915333,AT2G47890,zinc finger protein CONSTANS-LIKE 13
261005_at,0.004685,1.73E-05,10.1336769,3.66764,0.95163667,AT1G26420,FAD-binding and BBE domain-containing protein
