ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
267053_s_at,8.49E-07,4.21E-11,38.4326513,15.3473011,5.12788,AT2G38390///AT2G38380,peroxidase 23///peroxidase 22
255807_at,8.49E-07,1.13E-10,34.3255575,14.644542,5.101155,AT4G10270,putative wound-responsive protein
253298_at,8.49E-07,1.15E-10,34.2494568,14.6301891,4.246375,AT4G33560,Wound-responsive family protein
263096_at,8.49E-07,1.49E-10,33.2614602,14.4389777,4.256285,HB1,non-symbiotic hemoglobin 1
261084_at,9.97E-07,2.34E-10,-31.5756745,14.0906024,-3.12095,AT1G07440,NAD(P)-binding Rossmann-fold superfamily protein
246932_at,9.97E-07,2.70E-10,31.068908,13.9800491,3.1242375,AT5G25190,ethylene-responsive transcription factor ERF003
245701_at,9.97E-07,3.15E-10,-30.5211605,13.8573448,-3.2721975,GLU1,ferredoxin-dependent glutamate synthase 1
252746_at,9.97E-07,3.50E-10,30.1623658,13.7751045,4.117515,SUS4,sucrose synthase 4
256781_at,1.13E-06,5.21E-10,28.8110062,13.451431,3.6899625,AT3G13650,"disease resistance-responsive, dirigent domain-containing protein"
260528_at,1.13E-06,5.54E-10,28.6073912,13.400671,3.539155,WRKY23,WRKY DNA-binding protein 23
248163_at,1.13E-06,5.65E-10,28.5457363,13.3851942,5.0341175,DFL1,indole-3-acetic acid-amido synthetase GH3.6
262811_at,1.13E-06,5.94E-10,-28.3821152,13.3438787,-2.588525,AT1G11700,hypothetical protein
260012_at,1.62E-06,1.02E-09,-26.68045,12.8923419,-4.9301025,AT1G67865,hypothetical protein
250498_at,1.62E-06,1.02E-09,-26.6754503,12.8909539,-4.59331,PMDH2,peroxisomal NAD-malate dehydrogenase 2
260392_at,1.62E-06,1.06E-09,26.5442672,12.8544001,2.04759,ENO1,enolase 1
253416_at,1.82E-06,1.27E-09,25.9987003,12.6995611,4.577815,AT4G33070,pyruvate decarboxylase 1
260410_at,2.06E-06,1.53E-09,-25.446818,12.5381669,-3.808525,NRT1.7,nitrate transporter 1.7
266486_at,2.41E-06,1.90E-09,24.8284029,12.3513798,3.22737,AT2G47950,hypothetical protein
