"","d35_gene_exp_value","d35_ref_gene_exp_value"
"244901_at",6.52969874284512,5.97734209734149
"244902_at",6.51118891506747,5.9722796233681
"244903_at",7.02607188645059,7.39698656768718
"244904_at",6.03929605090755,5.85485339163931
"244905_at",5.44580458334919,5.56855219110962
"244906_at",9.40632145753757,8.28713355033191
"244907_at",5.2363190755668,5.23100626673737
"244908_at",4.83302949815825,4.90904079214299
"244909_at",5.88843262864877,5.86659812412575
"244910_s_at",4.24753385929122,4.26727247307976
"244911_at",4.04376075057147,4.0323284826829
"244912_at",9.55695605066653,10.2506995942694
"244913_at",7.05319681625075,7.044746731988
"244914_at",4.16271231549696,4.19419286537493
"244915_s_at",5.21923319800127,5.11451534410699
"244916_at",5.04651824575142,4.90901782082693
"244917_at",5.15376436127213,5.30846986582917
"244918_at",4.41441749507523,4.34999222537455
"244919_at",6.37235030792277,6.28487289823411
"244920_s_at",8.64629457931769,8.70987913146425
"244921_s_at",7.42757465888696,7.56441160280825
"244922_s_at",5.73014188829202,6.00223542527538
"244923_s_at",6.46906630596651,6.45728769512419
"244924_at",6.32300051777171,6.18125969762779
"244925_at",4.84505152703259,4.98754987277597
"244926_s_at",5.62005885128443,5.30453430245622
"244927_at",6.88041100896611,6.72992110315729
"244928_s_at",7.77308106523814,7.91931729576703
"244929_at",8.89908601468719,8.72831953532894
"244930_at",4.39866241605987,4.35345274558907
"244931_at",5.13842851570122,4.65112225666216
"244932_at",10.1109569234605,8.16993340198459
"244933_at",9.70182635626015,7.93729134744198
"244934_at",9.53405109488918,7.51135918493557
"244935_at",11.0192661807782,9.98206905517212
"244936_at",9.00920431518691,7.54597914922708
"244937_at",5.66645561064346,4.68515999758547
"244938_at",7.12648474724352,6.7273310687638
"244939_at",7.90848921697241,7.48516554337498
"244940_at",10.0279900257866,9.52397260630209
"244941_at",7.32716573818334,7.14990021175274
"244942_at",5.20390295906293,5.18507570816505
"244943_at",7.80510626972483,7.22345020728567
"244944_s_at",8.9071791976093,8.97207329929458
"244945_at",6.89723912562554,6.83764570955722
"244946_at",6.07543996153067,5.73965398156434
"244947_at",4.83283697508787,4.94406527439494
"244948_at",4.81100212183454,4.89830593829573
"244949_at",5.51185188154669,5.61543181037213
"244950_at",7.35600703983947,6.64928855350379
"244951_s_at",8.75719101664172,8.24088274733601
"244952_at",5.07976467456143,4.89655371135457
"244953_s_at",6.86902692893631,6.3468859740127
"244954_s_at",3.93603688814692,3.80097717315403
"244955_at",5.11431985995259,5.11277077024698
"244956_s_at",5.1686345672503,5.14962758509805
"244957_at",5.47841108645781,5.51753131521562
"244958_at",4.96479449271894,4.98759010651049
"244959_s_at",6.86817709179831,7.42657777579602
"244960_at",9.38866403604568,8.43071605846943
"244961_at",11.7265550981134,10.6134719978333
"244962_at",11.3845940138378,10.0437177282467
"244963_at",11.3514587637108,10.1105578610319
"244964_at",10.2861698273851,9.13392428476064
"244965_at",9.66536510357406,8.41575572401654
"244966_at",8.42057918533254,6.15099579375994
"244967_at",10.7197226776774,10.1794035785405
"244968_at",10.1922420267102,9.09312926723848
"244969_at",8.62350906672132,7.6369831725701
"244970_at",8.25569609928995,7.701863817808
"244971_at",11.9736395315694,11.9281795985936
"244972_at",10.5964333152821,8.24748835847118
"244973_at",8.99139441816856,6.52915026800313
"244974_at",7.814242040365,6.73081855663985
"244975_at",10.605676814452,8.93614762692168
"244976_at",12.8584201799302,11.8465588830782
"244977_at",7.96201498376648,6.44426299068598
"244978_at",8.87499822315333,8.84307727165826
"244979_at",8.05037654931431,8.01339411873896
"244980_at",6.90958069186009,6.47831346549849
"244981_at",8.73696943811606,8.27365789684718
"244982_at",7.97448655116014,8.04181940687749
"244983_at",9.13807789291636,9.23086956507962
"244984_at",10.163393764704,9.86785038262735
"244985_at",9.14194681710512,8.90463700951619
"244986_at",10.6882016557286,10.2777537185987
"244987_s_at",12.1984942194972,11.7253463516642
"244988_s_at",10.9960657565191,10.1556558993447
"244989_s_at",6.95792642655957,6.15279775825106
"244990_s_at",5.13988240229205,4.06138131272003
"244991_s_at",8.00329330062577,6.46880034388026
"244992_s_at",11.62757987054,11.0141396421537
"244993_s_at",9.23187230882362,9.09243999889407
"244994_at",7.21207386790477,5.73787059785823
"244995_at",6.6690888708972,4.91414746575994
"244996_at",9.24919497831178,8.48600347996499
"244997_at",7.90956148464151,7.44411801652741
"244998_at",10.3914919773073,9.80821032900963
"244999_at",7.62650369104472,5.60438893348641
"245000_at",9.29675568885351,7.55310354627638
"245001_at",12.6113992183458,11.9780761921705
"245002_at",10.0761609139039,7.31180809545689
"245003_at",11.4431406985289,9.14083398919018
"245004_at",11.29763913791,9.53172051648613
"245005_at",8.50949376685162,6.66531397916614
"245006_at",12.5857958877067,11.4945381236659
"245007_at",9.50306881139195,7.01516752169694
"245008_at",8.87758211559324,8.04255142495423
"245009_at",12.0619424463328,11.6243329896494
"245010_at",9.39503816741616,7.3785468567649
"245011_at",8.88831748761788,7.10783148446898
"245012_at",9.75014727846048,7.76257805810476
"245013_at",12.3434686750969,11.4831706789872
"245014_at",12.7781735193655,11.9388877094554
"245015_at",10.0331103995695,8.55873170517568
"245016_at",9.91728820583843,8.76991670620645
"245017_at",10.9747609450233,9.70461999310354
"245018_at",9.65578149206393,8.59809491832702
"245019_at",9.84936867433651,9.15515279643171
"245020_at",10.0236975996041,9.43934099667836
"245021_at",9.68042326987455,8.64706567864655
"245022_at",8.99962243393693,7.73181547030492
"245023_at",9.90294317703479,9.35604531418494
"245024_at",11.6876983635744,10.4384333535129
"245025_at",9.2795729334022,7.46208944414507
"245026_at",10.2198905424742,8.37084900446608
"245027_at",5.13060777676523,5.49298515129352
"245028_at",7.46538311102907,7.37815713624838
"245029_at",4.47437777152862,4.45533263365703
"245030_at",3.78298977598767,3.76264148285632
"245031_at",7.35718919148565,7.78652831857658
"245032_at",4.272645381081,4.28273446154507
"245033_at",4.61649426168358,5.0119094210346
"245034_at",6.38599911563746,6.91060792547054
"245035_at",6.33671482704374,11.6567137650392
"245036_at",3.98947946092454,4.0186623059779
"245037_at",4.81297585616024,4.7814548550593
"245038_at",7.69860494415191,9.39065565909542
"245039_at",9.31215649804894,9.07710489787681
"245040_at",6.53318923534415,6.71121602819746
"245041_at",7.70723141894679,8.98455498227056
"245042_at",7.60224047339311,7.147859745992
"245043_at",8.01290411637181,8.38952155104285
"245044_at",11.9799021071368,10.3983998347671
"245045_at",9.75897443946587,9.58801089367176
"245046_at",10.076334789814,9.97458200102941
"245047_at",12.163211463008,10.3130572563387
"245048_at",11.0511456603761,10.7367809781255
"245049_at",6.59756006021103,5.46170570007
"245050_at",10.4136902808551,9.84335632481848
"245051_at",8.70663667725764,10.2087192646784
"245052_at",8.54810787434188,6.9236155512132
"245053_at",5.45688964463727,5.53109361790415
"245054_at",7.79470347198611,7.58229849971377
"245055_at",4.74873469397176,4.76000792084988
"245056_at",5.2172574333013,5.37642264579139
"245057_at",5.06502047105489,4.9690900598168
"245058_at",4.82281170017821,4.86232909091135
"245059_at",9.14987861789572,9.04367679058185
"245060_at",10.5442412363281,11.3496281994676
"245061_at",13.131468512191,10.1283713701757
"245062_at",8.72854298540767,9.01375437808396
"245063_at",8.19950657680563,7.87298610144592
"245064_at",7.43273259011262,7.78676919227911
"245065_at",8.73043424108983,8.77134296306957
"245066_at",8.84049423364213,8.41951094699314
"245067_at",10.42782237628,10.4615077395482
"245068_at",4.39485622521549,4.35015107846018
"245069_at",4.34224564968681,4.43828768283537
"245070_at",5.20281657388488,5.08402924624181
"245071_at",4.23236929618927,4.21292506138615
"245072_s_at",4.28939843902539,4.28174806368742
"245073_at",4.30351410618323,4.62321994898324
"245074_at",7.71895182907736,7.00216588158593
"245075_at",5.17789828212348,4.92459530882315
"245076_at",4.46434837571126,11.7080950701207
"245077_at",6.3575477286868,6.42210487955652
"245078_at",7.52951863028433,7.8243189442798
"245079_at",6.32614161143468,6.40017739813606
"245080_at",5.55109122877971,5.39564244118307
"245081_at",6.42875046479297,6.50506812788307
"245082_at",5.63112920683001,5.64870722908963
"245083_at",8.98548386173129,9.44035835484039
"245084_at",5.94066956483263,6.32106290727868
"245085_at",9.33560905437962,9.60870796580928
"245086_at",7.00712586389587,5.3567053724473
"245087_at",7.03370818968884,7.04688285293343
"245088_at",8.55317544012689,4.70192684457145
"245089_at",7.0481270472662,8.97620115922201
"245090_at",9.67187098340805,7.60060513689491
"245091_at",5.02083716848003,5.02224718378019
"245092_at",9.41481358476867,9.24023400787126
"245093_at",7.06161235381275,7.6657985576086
"245094_at",10.371595760468,9.2886918500665
"245095_at",5.71485509885994,5.46838200316107
"245096_at",10.0698639259666,8.11964868413803
"245097_at",8.08795730431701,8.09063575356076
"245098_at",8.87813605813257,10.4208120086775
"245099_at",8.98776141744319,8.46969346980595
"245100_at",8.41040829758771,8.18900741283214
"245101_at",9.88147398272189,11.02989454781
"245102_at",4.14047427699233,4.10798090681861
"245103_at",5.52059785853228,5.64787701805854
"245104_at",8.22856020653631,8.28150921678988
"245105_at",6.75396995984397,6.79239954351816
"245106_at",6.82341369677146,8.52890989631661
"245107_at",4.9822591697305,6.99456069880701
"245108_at",5.34557986618307,9.32350366962662
"245109_at",6.32060288228403,7.16101881088825
"245110_at",5.06000458557827,6.34137580989226
"245111_at",4.58477318060179,4.69271791386131
"245112_at",6.27425758709875,7.81013205057054
"245113_at",5.30305463593313,7.00257894681596
"245114_at",9.16464986479163,9.96030126570044
"245115_at",10.8294679477584,10.9885815413333
"245116_at",8.38237773750794,8.67877610927462
"245117_at",7.22685129874078,7.61906291601754
"245118_at",8.29860504860493,8.0105574570043
"245119_at",7.8061932068597,7.17661625209661
"245120_at",7.40880352797907,7.71702451081137
"245121_at",10.3085955020454,11.2714845065466
"245122_at",8.49279946325931,9.04753459769233
"245123_at",9.2806063707491,8.90685530925819
"245124_at",8.53201451902791,8.69778263651513
"245125_at",5.60906702350291,5.64700015261032
"245126_at",6.43176921625992,5.90410493000611
"245127_at",10.7157578314647,8.47881536438695
"245128_at",3.79833339185352,3.82312601312214
"245129_at",4.54651343719348,4.3764379749371
"245130_at",4.9725917258419,6.32860948410345
"245131_s_at",8.19622999256919,8.24264994221063
"245132_at",7.54092833592012,7.48731395741197
"245133_at",4.8999067763245,4.96461981706399
"245134_s_at",6.6430670799567,6.53829901425135
"245135_at",4.61085727421208,4.59110528498519
"245136_at",9.02551797541468,9.52379790784239
"245137_at",6.45032785549099,6.72011195787679
"245138_at",4.77815660233221,4.74938514683798
"245139_at",5.67390576000532,6.26087126885088
"245140_at",4.33912021444968,5.06888780475697
"245141_at",5.65309564987773,6.15292374479922
"245142_at",8.15092517607194,7.91228256532513
"245143_at",8.75010748909899,9.38701528143666
"245144_at",9.33583535905474,9.64047552101515
"245145_at",8.14687388114899,8.35939511437988
"245146_at",8.44112179227874,9.22441183120046
"245147_at",6.98116189430013,6.64478545749035
"245148_at",7.39482820003249,9.57003631203126
"245149_at",6.66312865020188,6.82209843989292
"245150_at",7.90255390181935,7.34366326229081
"245151_at",5.40324416291856,8.44167422246266
"245152_at",8.88374755297121,8.56723224122947
"245153_at",3.70099565558866,3.65760884797073
"245154_at",5.96471018543038,6.14020332703593
"245155_at",8.97448987801881,9.10634757852879
"245156_at",7.14510900015941,7.45298455197569
"245157_at",4.14992330085162,4.12457331773047
"245158_at",4.80195417362067,4.91359831091444
"245159_at",5.28312905413458,5.15145498423786
"245160_at",5.69523430167848,5.56303873658623
"245161_at",6.1406915159622,6.18722642362137
"245162_at",5.69336060672357,5.77107376810929
"245163_at",4.75497395796975,4.68155226500379
"245164_at",9.25080861766318,9.26330539919394
"245165_at",6.45134082466858,4.8234550543571
"245166_at",7.21486289625931,7.95914422453406
"245167_s_at",9.59562520509991,9.58229207124855
"245168_at",11.64228456003,11.7003824019809
"245169_at",7.28700477502645,7.39565955479436
"245170_at",5.64143627205533,5.60041594415762
"245171_at",6.22005958106055,7.52692852958916
"245172_at",5.52133919763084,5.59461108217406
"245173_at",4.9535483589915,7.1384805026731
"245174_at",5.90080779509221,6.90602034844504
"245175_at",10.9115649522462,11.3683831917706
"245176_at",8.36017498767657,8.2547135456905
"245177_at",5.27861856694567,5.32759761138012
"245178_at",8.92124634864668,8.22974568574267
"245179_at",7.36824959073137,7.54728176490818
"245180_at",8.741805930458,9.44965528190573
"245181_at",5.65966182360306,6.80341246268854
"245182_at",6.30502545385319,6.34263442984058
"245183_at",7.30288489624525,8.19673520211251
"245184_at",3.99997726370031,4.03689754073054
"245185_at",6.79245147251827,7.02805046542575
"245186_at",7.20278860599813,6.96480408773903
"245187_s_at",7.89070232582384,8.41826053650958
"245188_at",8.3310428831802,7.602104094033
"245189_at",3.73198079470369,3.74469050771209
"245190_at",5.10216318053816,5.7661008264643
"245191_at",5.12600173277636,5.26066881277843
"245192_at",3.66750783941261,3.77031082508533
"245193_at",8.32924589406662,7.0025615302961
"245194_at",7.13999854200866,7.0362217278564
"245195_at",11.4213751883728,10.6052387927179
"245196_at",6.03832714876989,6.34641707432876
"245197_at",8.08023036315205,8.20539184918902
"245198_at",9.29299603134022,8.55061483010012
"245199_at",9.66462513245411,10.1208187149307
"245200_at",8.11191769693236,7.68984968837671
"245201_at",8.90272546817768,7.65053260182283
"245202_at",6.67667253862381,7.70163515008396
"245203_at",4.03127902199336,4.06067054581372
"245204_at",5.55823420831815,5.6321216420926
"245205_at",5.84803644471784,5.7407527948149
"245206_at",7.80085479530589,7.96763052640372
"245207_at",8.05318885871023,8.76717176077573
"245208_at",5.04310374762944,9.22899209587901
"245209_at",4.38835479035535,5.63869271940295
"245210_at",7.59124391398659,8.35245894172281
"245211_at",9.11804193291947,9.38964835450676
"245212_at",4.3980311960999,4.4126853571617
"245213_at",12.0284661115052,9.02472595819855
"245214_at",4.41502571927155,4.39621868137518
"245215_at",7.31960852651948,9.68526603476947
"245216_at",8.97699331768121,8.56922164303652
"245217_at",5.84966976484908,5.94815516436451
"245218_s_at",5.63387379565483,5.40664257768616
"245219_at",9.07041062952268,8.56324162133509
"245220_at",3.75071018726248,3.75309648411564
"245221_s_at",4.62395357366402,4.72420163664503
"245222_at",4.39165840434963,4.42747590729477
"245223_at",4.36578753897343,4.43256425529971
"245224_at",6.40427350034691,6.46947051855927
"245225_at",5.64307812036542,5.67770879591264
"245226_at",5.55171419504992,10.371543499975
"245227_s_at",5.68649912694449,5.11566991688804
"245228_at",7.82574983234346,9.48363039025094
"245229_at",7.43339267785484,6.04374681820089
"245230_at",5.64723555758122,5.73269453022084
"245231_at",6.11134008228825,6.00620120291647
"245232_at",4.01139033767145,4.04154239945337
"245233_at",4.73068062470936,4.63358708553979
"245234_at",4.58204917072079,4.7232615178673
"245235_at",9.23060376034718,9.27316337280211
"245236_at",6.27389431884578,6.2581742964168
"245237_at",7.36097502657049,7.41297493504917
"245238_at",10.6197437323448,10.4448150581504
"245239_at",5.05278725259493,4.95056359962577
"245240_at",6.08075569049235,6.10178378482203
"245241_at",4.81703715693017,4.80682812770704
"245242_at",8.55206427639332,8.2979704895818
"245243_at",6.68511757159668,5.29690913934506
"245244_at",9.88279223584331,9.53806196989455
"245245_at",5.52707701969744,5.42551914524588
"245246_at",5.68950180783764,5.75063202227221
"245247_at",9.6363683272193,9.37637097424562
"245248_at",6.83552430603849,6.76175409322942
"245249_at",8.69748866349477,8.88545259162054
"245250_at",5.10915780184515,5.52348826558045
"245251_at",7.65316307911578,8.44932546111205
"245252_at",8.42393391862018,7.99239774645939
"245253_at",9.43352399765494,5.08062051347605
"245254_at",8.45055953081801,6.92999823076854
"245255_at",9.16952313331834,9.92842743286238
"245256_at",5.9900102723312,5.76559747022867
"245257_at",3.79303474680721,3.88534272567888
"245258_at",4.26562952542827,4.4271699995867
"245259_at",4.51182552719061,4.84246634291869
"245260_at",8.74268909831562,8.12513759499847
"245261_at",7.49046150194605,8.15993645115547
"245262_at",5.76951502440345,5.71105723459305
"245263_at",7.3884052714724,6.45144247440395
"245264_at",5.7749517752197,4.88322416901472
"245265_at",5.38282304845085,4.31885482632659
