"","AGI","probe_id","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","GO","PATH","oma_id","level","level_name","araID"
"1","AT1G01010","261585_at",0.057586,0.0117,3.41,-3.400196,0.231,"NAC001","NAC domain-containing protein 1","GO:0006355; GO:0005634; GO:0003700",NA,15163967,13,"Brassicaceae","ARATH00001"
"2","AT1G01030","261568_at",0.985791,0.967,-0.0423,-7.257408,-0.00216,"NGA3","B3 domain-containing transcription factor NGA3","GO:0006355; GO:0009908; GO:0048366; GO:1901371; GO:0005634; GO:0003700",NA,15163973,10,"Pentapetalae","ARATH00007"
"3","AT1G01040","261584_at",0.156854,0.0484,-2.4,-4.88185,-0.203,"DCL1","endoribonuclease Dicer-like 1","GO:0000911; GO:0006396; GO:0009616; GO:0009880; GO:0009908; GO:0010098; GO:0010228; GO:0010267; GO:0010599; GO:0016075; GO:0031053; GO:0035196; GO:0035279; GO:0048317; GO:2000034; GO:0005634; GO:0005737; GO:0010445; GO:0003677; GO:0003725; GO:0004525; GO:0005515",NA,15163976,2,"Eukaryota","ARATH00010"
"4","AT1G01050","261579_at",0.05192,0.0101,3.52,-3.238578,0.221,"PPa1","pyrophosphorylase 1","GO:0005985; GO:0006796; GO:0019915; GO:0042546; GO:2000904; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0000287; GO:0004427","00190",15163977,2,"Eukaryota","ARATH00011"
"5","AT1G01060","261569_at",0.250354,0.0929,-1.95,-5.532783,-0.219,"LHY","protein LHY","GO:0006355; GO:0007623; GO:0009409; GO:0042752; GO:0042754; GO:0043433; GO:0048574; GO:0005634; GO:0003700; GO:0005515","04712",15163979,9,"Mesangiospermae","ARATH00013"
"6","AT1G01070","261576_at",0.009755,0.000882,-5.61,-0.598109,-0.518,"AT1G01070","nodulin MtN21-like transporter family protein","GO:0048316; GO:0005739; GO:0005886; GO:0015186",NA,15163981,9,"Mesangiospermae","ARATH00015"
"7","AT1G01080","261577_at",0.083097,0.0198,3.03,-3.952857,0.17,"AT1G01080","RNA-binding (RRM/RBD/RNP motifs) family protein","GO:0008150; GO:0005634; GO:0009507; GO:0009536; GO:0009570; GO:0009941; GO:0003729",NA,15163984,8,"Magnoliopsida","ARATH00018"
"8","AT1G01090","261583_at",0.391243,0.179,-1.5,-6.155664,-0.124,"PDH-E1 ALPHA","pyruvate dehydrogenase E1 alpha subunit","GO:0006086; GO:0005739; GO:0009507; GO:0009536; GO:0009570; GO:0009941; GO:0004739","00010; 00020; 00290; 00620; 00650; 01100; 01110",15163986,1,"LUCA","ARATH00020"
"9","AT1G01100","261578_at",0.000656,6.98e-06,12.2,4.577156,0.54,"AT1G01100","60S acidic ribosomal protein P1-1","GO:0002181; GO:0006414; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0022625; GO:0022626; GO:0003735; GO:0030295; GO:0043021",NA,15163987,2,"Eukaryota","ARATH00021"
"10","AT1G01110","261580_at",0.590481,0.355,-0.993,-6.733383,-0.0399,"IQD18","protein IQ-domain 18","GO:0005634; GO:0003674",NA,15163989,5,"Embryophyta","ARATH00023"
"11","AT1G01120","261570_at",0.000609,5.86e-06,-12.5,4.75647,-0.895,"KCS1","3-ketoacyl-CoA synthase 1","GO:0000038; GO:0006633; GO:0009409; GO:0009416; GO:0010025; GO:0030497; GO:0042335; GO:0005737; GO:0005783; GO:0016020; GO:0022626; GO:0009922; GO:0102336; GO:0102337; GO:0102338; GO:0102756",NA,15163991,2,"Eukaryota","ARATH00025"
