"","ID","age","AveGallSum","AveLeafSum","logFC","Description"
"1","GO:0005996","MC",6.907545,9.196801,-0.366814846539701,"monosaccharide metabolic process"
"2","GO:0005996","UC",583.326092333333,1936.08845066667,-1.7290442137566,"monosaccharide metabolic process"
"3","GO:0006091","MC",6.907545,9.196801,-0.366814846539701,"generation of precursor metabolites and energy"
"4","GO:0006091","UC",583.326092333333,1936.08845066667,-1.7290442137566,"generation of precursor metabolites and energy"
"5","GO:0006766","MC",6.907545,9.196801,-0.366814846539701,"vitamin metabolic process"
"6","GO:0006766","UC",575.098981333333,1926.037562,-1.74199608111957,"vitamin metabolic process"
"7","GO:0009110","MC",6.907545,9.196801,-0.366814846539701,"vitamin biosynthetic process"
"8","GO:0009110","UC",575.098981333333,1926.037562,-1.74199608111957,"vitamin biosynthetic process"
"9","GO:0009409","MC",6.907545,9.196801,-0.366814846539701,"response to cold"
"10","GO:0009409","UC",583.326092333333,1936.08845066667,-1.7290442137566,"response to cold"
"11","GO:0009637","MC",6.907545,9.196801,-0.366814846539701,"response to blue light"
"12","GO:0009637","UC",583.326092333333,1936.08845066667,-1.7290442137566,"response to blue light"
"13","GO:0009657","MC",6.907545,9.196801,-0.366814846539701,"plastid organization"
"14","GO:0009657","UC",583.326092333333,1936.08845066667,-1.7290442137566,"plastid organization"
"15","GO:0009853","MC",6.907545,9.196801,-0.366814846539701,"photorespiration"
"16","GO:0009853","UC",254.29899,1470.48447966667,-2.52701259032172,"photorespiration"
"17","GO:0016114","MC",6.907545,9.196801,-0.366814846539701,"terpenoid biosynthetic process"
"18","GO:0016114","UC",583.326092333333,1936.08845066667,-1.7290442137566,"terpenoid biosynthetic process"
"19","GO:0016226","UC",169.721507666667,1164.34219333333,-2.77103692575442,"iron-sulfur cluster assembly"
"20","GO:0019359","MC",6.907545,9.196801,-0.366814846539701,"nicotinamide nucleotide biosynthetic process"
"21","GO:0019359","UC",247.262808333333,1464.35169433333,-2.56130690672125,"nicotinamide nucleotide biosynthetic process"
"22","GO:0031152","UC",163.371830333333,1154.67989633333,-2.81370687163763,"aggregation involved in sorocarp development"
"23","GO:0031163","UC",169.721507666667,1164.34219333333,-2.77103692575442,"metallo-sulfur cluster assembly"
"24","GO:0042181","UC",163.371830333333,1154.67989633333,-2.81370687163763,"ketone biosynthetic process"
"25","GO:0042254","MC",6.907545,9.196801,-0.366814846539701,"ribosome biogenesis"
"26","GO:0042254","UC",583.326092333333,1936.08845066667,-1.7290442137566,"ribosome biogenesis"
"27","GO:0046496","MC",6.907545,9.196801,-0.366814846539701,"nicotinamide nucleotide metabolic process"
"28","GO:0046496","UC",575.098981333333,1926.037562,-1.74199608111957,"nicotinamide nucleotide metabolic process"
"29","GO:0048573","MC",6.907545,9.196801,-0.366814846539701,"photoperiodism, flowering"
"30","GO:0048573","UC",583.326092333333,1936.08845066667,-1.7290442137566,"photoperiodism, flowering"
"31","GO:0051186","MC",6.907545,9.196801,-0.366814846539701,"obsolete cofactor metabolic process"
"32","GO:0051186","UC",583.326092333333,1936.08845066667,-1.7290442137566,"obsolete cofactor metabolic process"
"33","GO:0051188","MC",6.907545,9.196801,-0.366814846539701,"obsolete cofactor biosynthetic process"
"34","GO:0051188","UC",583.326092333333,1936.08845066667,-1.7290442137566,"obsolete cofactor biosynthetic process"
"35","GO:0071482","MC",6.907545,9.196801,-0.366814846539701,"cellular response to light stimulus"
"36","GO:0071482","UC",583.326092333333,1936.08845066667,-1.7290442137566,"cellular response to light stimulus"
"37","GO:0072524","MC",6.907545,9.196801,-0.366814846539701,"pyridine-containing compound metabolic process"
"38","GO:0072524","UC",575.370996666667,1927.58176433333,-1.74247066672319,"pyridine-containing compound metabolic process"
"39","GO:0072525","MC",6.907545,9.196801,-0.366814846539701,"pyridine-containing compound biosynthetic process"
"40","GO:0072525","UC",254.29899,1470.48447966667,-2.52701259032172,"pyridine-containing compound biosynthetic process"
