"","GOID","countMC","countUC","total","proportion.MC","proportion.UC","MC.Pvalue","UC.Pvalue","age"
"1","GO:0000184",13,85,98,0.13265306122449,0.86734693877551,1,0,"UC"
"2","GO:0002181",10,156,166,0.0602409638554217,0.939759036144578,1,0,"UC"
"3","GO:0002252",80,116,196,0.408163265306122,0.591836734693878,0.7622,0.2845,NA
"4","GO:0002262",7,14,21,0.333333333333333,0.666666666666667,0.8683,0.2571,NA
"5","GO:0002931",3,7,10,0.3,0.7,0.8796,0.3054,NA
"6","GO:0003008",106,98,204,0.519607843137255,0.480392156862745,0.0049,0.9965,"MC"
"7","GO:0005996",19,127,146,0.13013698630137,0.86986301369863,1,0,"UC"
"8","GO:0006614",3,76,79,0.0379746835443038,0.962025316455696,1,0,"UC"
"9","GO:0006749",20,32,52,0.384615384615385,0.615384615384615,0.7883,0.2987,NA
"10","GO:0006833",17,32,49,0.346938775510204,0.653061224489796,0.9052,0.1561,NA
"11","GO:0007399",103,170,273,0.377289377289377,0.622710622710623,0.968,0.0425,"UC"
"12","GO:0007498",14,7,21,0.666666666666667,0.333333333333333,0.0251,0.9914,"MC"
"13","GO:0007548",35,23,58,0.603448275862069,0.396551724137931,0.0062,0.9968,"MC"
"14","GO:0007568",133,141,274,0.485401459854015,0.514598540145985,0.0372,0.9713,NA
"15","GO:0007631",5,9,14,0.357142857142857,0.642857142857143,0.7921,0.3964,NA
"16","GO:0008283",114,186,300,0.38,0.62,0.9699,0.0375,"UC"
"17","GO:0009225",5,38,43,0.116279069767442,0.883720930232558,1,0,"UC"
"18","GO:0009299",9,8,17,0.529411764705882,0.470588235294118,0.2736,0.8574,NA
"19","GO:0009407",14,8,22,0.636363636363636,0.363636363636364,0.0408,0.9842,"MC"
"20","GO:0009636",157,177,334,0.470059880239521,0.529940119760479,0.0731,0.9425,NA
"21","GO:0009645",2,15,17,0.117647058823529,0.882352941176471,0.9989,0.0072,"UC"
"22","GO:0009664",87,18,105,0.828571428571429,0.171428571428571,0,1,"MC"
"23","GO:0009739",97,23,120,0.808333333333333,0.191666666666667,0,1,"MC"
"24","GO:0009773",8,3,11,0.727272727272727,0.272727272727273,0.0416,0.9905,"MC"
"25","GO:0009953",16,12,28,0.571428571428571,0.428571428571429,0.0898,0.9569,NA
"26","GO:0009994",22,16,38,0.578947368421053,0.421052631578947,0.0428,0.9789,"MC"
"27","GO:0010608",142,186,328,0.432926829268293,0.567073170731707,0.4834,0.5602,NA
"28","GO:0010941",131,188,319,0.410658307210031,0.589341692789969,0.7824,0.2532,NA
"29","GO:0019730",8,7,15,0.533333333333333,0.466666666666667,0.2868,0.86,NA
"30","GO:0019748",132,155,287,0.45993031358885,0.54006968641115,0.17,0.8608,NA
"31","GO:0019827",42,29,71,0.591549295774648,0.408450704225352,0.0053,0.9977,"MC"
"32","GO:0019852",1,19,20,0.05,0.95,0.9999,3e-04,"UC"
"33","GO:0030155",28,24,52,0.538461538461538,0.461538461538462,0.0766,0.9558,NA
"34","GO:0030239",24,14,38,0.631578947368421,0.368421052631579,0.0114,0.9954,"MC"
"35","GO:0030522",23,39,62,0.370967741935484,0.629032258064516,0.8602,0.205,NA
"36","GO:0031032",32,18,50,0.64,0.36,0.0019,0.9996,"MC"
"37","GO:0031396",19,40,59,0.322033898305085,0.677966101694915,0.9668,0.0597,NA
"38","GO:0031647",22,55,77,0.285714285714286,0.714285714285714,0.9969,0.0051,"UC"
"39","GO:0034101",7,14,21,0.333333333333333,0.666666666666667,0.8722,0.2529,NA
"40","GO:0034250",30,39,69,0.434782608695652,0.565217391304348,0.5088,0.5872,NA
"41","GO:0034763",5,7,12,0.416666666666667,0.583333333333333,0.6467,0.5804,NA
"42","GO:0035384",4,16,20,0.2,0.8,0.9917,0.0288,"UC"
"43","GO:0040011",99,130,229,0.432314410480349,0.567685589519651,0.5022,0.5546,NA
"44","GO:0042044",17,32,49,0.346938775510204,0.653061224489796,0.9089,0.152,NA
"45","GO:0042127",78,113,191,0.408376963350785,0.591623036649215,0.7556,0.2935,NA
