"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","80/773","269/14268",5.12834699075212e-38,1.61337796329062e-34,1.35118447556343e-34,"TRINITY_DN8602_c0_g1/TRINITY_DN9206_c0_g2/TRINITY_DN24400_c0_g1/TRINITY_DN39904_c0_g1/TRINITY_DN30430_c0_g1/TRINITY_DN35400_c0_g1/TRINITY_DN57918_c0_g1/TRINITY_DN48876_c0_g1/TRINITY_DN58028_c0_g1/TRINITY_DN15331_c0_g1/TRINITY_DN19606_c0_g1/TRINITY_DN60774_c0_g1/TRINITY_DN57793_c0_g1/TRINITY_DN64986_c0_g1/TRINITY_DN46281_c0_g1/TRINITY_DN14347_c0_g1/TRINITY_DN13281_c0_g1/TRINITY_DN47537_c0_g1/TRINITY_DN23098_c0_g2/TRINITY_DN36778_c0_g1/TRINITY_DN57318_c0_g1/TRINITY_DN58781_c0_g1/TRINITY_DN40817_c0_g1/TRINITY_DN46199_c0_g1/TRINITY_DN57363_c0_g1/TRINITY_DN22340_c0_g1/TRINITY_DN63346_c0_g1/TRINITY_DN67155_c0_g1/TRINITY_DN36319_c0_g1/TRINITY_DN68845_c0_g1/TRINITY_DN33558_c0_g1/TRINITY_DN55268_c0_g1/TRINITY_DN67276_c0_g1/TRINITY_DN16893_c0_g1/TRINITY_DN57868_c0_g1/TRINITY_DN42768_c0_g1/TRINITY_DN36162_c0_g1/TRINITY_DN64563_c0_g1/TRINITY_DN39238_c0_g1/TRINITY_DN63446_c0_g1/TRINITY_DN39508_c0_g1/TRINITY_DN55033_c0_g1/TRINITY_DN48010_c0_g1/TRINITY_DN32265_c0_g1/TRINITY_DN10950_c0_g1/TRINITY_DN16083_c0_g1/TRINITY_DN34183_c0_g1/TRINITY_DN14946_c0_g1/TRINITY_DN46883_c0_g1/TRINITY_DN23098_c0_g1/TRINITY_DN63954_c0_g1/TRINITY_DN46246_c0_g1/TRINITY_DN12839_c0_g1/TRINITY_DN34576_c0_g1/TRINITY_DN47320_c0_g1/TRINITY_DN48016_c0_g1/TRINITY_DN57728_c0_g1/TRINITY_DN57185_c0_g1/TRINITY_DN46201_c0_g1/TRINITY_DN52697_c0_g1/TRINITY_DN49547_c0_g1/TRINITY_DN63378_c0_g1/TRINITY_DN49099_c0_g1/TRINITY_DN54435_c0_g1/TRINITY_DN35040_c0_g1/TRINITY_DN17378_c0_g1/TRINITY_DN40884_c0_g1/TRINITY_DN39198_c0_g1/TRINITY_DN14408_c0_g1/TRINITY_DN63551_c0_g1/TRINITY_DN33059_c0_g1/TRINITY_DN22859_c0_g1/TRINITY_DN26480_c0_g1/TRINITY_DN52696_c0_g1/TRINITY_DN4223_c0_g1/TRINITY_DN16240_c0_g1/TRINITY_DN56661_c0_g1/TRINITY_DN34521_c0_g1/TRINITY_DN3167_c2_g2/TRINITY_DN987_c0_g1",80
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","51/773","136/14268",5.80746375048631e-30,9.13514047951497e-27,7.65056935129855e-27,"TRINITY_DN8602_c0_g1/TRINITY_DN9206_c0_g2/TRINITY_DN24400_c0_g1/TRINITY_DN58028_c0_g1/TRINITY_DN15331_c0_g1/TRINITY_DN19606_c0_g1/TRINITY_DN57793_c0_g1/TRINITY_DN46281_c0_g1/TRINITY_DN14347_c0_g1/TRINITY_DN25470_c0_g1/TRINITY_DN13281_c0_g1/TRINITY_DN47537_c0_g1/TRINITY_DN23098_c0_g2/TRINITY_DN36778_c0_g1/TRINITY_DN58781_c0_g1/TRINITY_DN46199_c0_g1/TRINITY_DN57363_c0_g1/TRINITY_DN22340_c0_g1/TRINITY_DN63346_c0_g1/TRINITY_DN67155_c0_g1/TRINITY_DN36319_c0_g1/TRINITY_DN68845_c0_g1/TRINITY_DN33558_c0_g1/TRINITY_DN55268_c0_g1/TRINITY_DN67276_c0_g1/TRINITY_DN16893_c0_g1/TRINITY_DN57868_c0_g1/TRINITY_DN64563_c0_g1/TRINITY_DN39238_c0_g1/TRINITY_DN63446_c0_g1/TRINITY_DN55033_c0_g1/TRINITY_DN48010_c0_g1/TRINITY_DN10950_c0_g1/TRINITY_DN34183_c0_g1/TRINITY_DN14946_c0_g1/TRINITY_DN46883_c0_g1/TRINITY_DN23098_c0_g1/TRINITY_DN46246_c0_g1/TRINITY_DN48016_c0_g1/TRINITY_DN57185_c0_g1/TRINITY_DN46201_c0_g1/TRINITY_DN52697_c0_g1/TRINITY_DN49547_c0_g1/TRINITY_DN63378_c0_g1/TRINITY_DN17378_c0_g1/TRINITY_DN39198_c0_g1/TRINITY_DN63551_c0_g1/TRINITY_DN52696_c0_g1/TRINITY_DN4223_c0_g1/TRINITY_DN16240_c0_g1/TRINITY_DN34521_c0_g1",51
"GO:0000184","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","51/773","170/14268",1.01590070549529e-24,3.55113735498688e-22,2.97403446298798e-22,"TRINITY_DN8602_c0_g1/TRINITY_DN9206_c0_g2/TRINITY_DN24400_c0_g1/TRINITY_DN58028_c0_g1/TRINITY_DN15331_c0_g1/TRINITY_DN19606_c0_g1/TRINITY_DN57793_c0_g1/TRINITY_DN46281_c0_g1/TRINITY_DN14347_c0_g1/TRINITY_DN25470_c0_g1/TRINITY_DN13281_c0_g1/TRINITY_DN47537_c0_g1/TRINITY_DN23098_c0_g2/TRINITY_DN36778_c0_g1/TRINITY_DN58781_c0_g1/TRINITY_DN46199_c0_g1/TRINITY_DN57363_c0_g1/TRINITY_DN22340_c0_g1/TRINITY_DN63346_c0_g1/TRINITY_DN67155_c0_g1/TRINITY_DN36319_c0_g1/TRINITY_DN68845_c0_g1/TRINITY_DN33558_c0_g1/TRINITY_DN55268_c0_g1/TRINITY_DN67276_c0_g1/TRINITY_DN16893_c0_g1/TRINITY_DN57868_c0_g1/TRINITY_DN64563_c0_g1/TRINITY_DN39238_c0_g1/TRINITY_DN63446_c0_g1/TRINITY_DN55033_c0_g1/TRINITY_DN48010_c0_g1/TRINITY_DN10950_c0_g1/TRINITY_DN34183_c0_g1/TRINITY_DN14946_c0_g1/TRINITY_DN46883_c0_g1/TRINITY_DN23098_c0_g1/TRINITY_DN46246_c0_g1/TRINITY_DN48016_c0_g1/TRINITY_DN57185_c0_g1/TRINITY_DN46201_c0_g1/TRINITY_DN52697_c0_g1/TRINITY_DN49547_c0_g1/TRINITY_DN63378_c0_g1/TRINITY_DN17378_c0_g1/TRINITY_DN39198_c0_g1/TRINITY_DN63551_c0_g1/TRINITY_DN52696_c0_g1/TRINITY_DN4223_c0_g1/TRINITY_DN16240_c0_g1/TRINITY_DN34521_c0_g1",51
"GO:0009636","GO:0009636","response to toxic substance","56/773","483/14268",5.45921668917935e-08,9.54149761342124e-06,7.99088852223153e-06,"TRINITY_DN180_c0_g1/TRINITY_DN2671_c0_g1/TRINITY_DN396_c0_g1/TRINITY_DN943_c0_g1/TRINITY_DN1659_c0_g1/TRINITY_DN3685_c0_g1/TRINITY_DN8499_c0_g1/TRINITY_DN57793_c0_g1/TRINITY_DN46281_c0_g1/TRINITY_DN40817_c0_g1/TRINITY_DN838_c0_g1/TRINITY_DN55268_c0_g1/TRINITY_DN44819_c0_g1/TRINITY_DN9021_c0_g1/TRINITY_DN48010_c0_g1/TRINITY_DN1377_c0_g1/TRINITY_DN13873_c0_g1/TRINITY_DN14284_c0_g1/TRINITY_DN6063_c0_g1/TRINITY_DN3382_c0_g1/TRINITY_DN1193_c0_g1/TRINITY_DN46883_c0_g1/TRINITY_DN34893_c0_g1/TRINITY_DN34576_c0_g1/TRINITY_DN2975_c0_g1/TRINITY_DN31092_c0_g1/TRINITY_DN64956_c0_g1/TRINITY_DN60691_c0_g1/TRINITY_DN378_c0_g1/TRINITY_DN66721_c0_g1/TRINITY_DN749_c0_g1/TRINITY_DN619_c0_g1/TRINITY_DN206_c0_g1/TRINITY_DN7664_c1_g1/TRINITY_DN35040_c0_g1/TRINITY_DN5280_c0_g1/TRINITY_DN30738_c0_g1/TRINITY_DN55678_c0_g1/TRINITY_DN1153_c0_g1/TRINITY_DN1960_c0_g1/TRINITY_DN6194_c0_g1/TRINITY_DN3069_c0_g1/TRINITY_DN231_c0_g1/TRINITY_DN536_c1_g1/TRINITY_DN46255_c0_g1/TRINITY_DN585_c0_g1/TRINITY_DN39703_c0_g1/TRINITY_DN41094_c0_g1/TRINITY_DN2861_c0_g1/TRINITY_DN48282_c0_g1/TRINITY_DN3674_c0_g1/TRINITY_DN39907_c0_g1/TRINITY_DN53777_c0_g1/TRINITY_DN59030_c0_g1/TRINITY_DN42665_c0_g1/TRINITY_DN5432_c0_g1",56
"GO:0042255","GO:0042255","ribosome assembly","23/773","129/14268",3.87922646748614e-07,6.42318235090073e-05,5.37933731197662e-05,"TRINITY_DN9206_c0_g2/TRINITY_DN24400_c0_g1/TRINITY_DN60774_c0_g1/TRINITY_DN17723_c0_g1/TRINITY_DN64986_c0_g1/TRINITY_DN46281_c0_g1/TRINITY_DN47537_c0_g1/TRINITY_DN36319_c0_g1/TRINITY_DN68845_c0_g1/TRINITY_DN57868_c0_g1/TRINITY_DN39238_c0_g1/TRINITY_DN63446_c0_g1/TRINITY_DN55033_c0_g1/TRINITY_DN46883_c0_g1/TRINITY_DN48016_c0_g1/TRINITY_DN57728_c0_g1/TRINITY_DN49547_c0_g1/TRINITY_DN40884_c0_g1/TRINITY_DN14408_c0_g1/TRINITY_DN32869_c0_g1/TRINITY_DN26480_c0_g1/TRINITY_DN7138_c0_g1/TRINITY_DN62629_c0_g1",23
"GO:0009225","GO:0009225","nucleotide-sugar metabolic process","14/773","53/14268",5.56470616015475e-07,8.75328278992343e-05,7.33076816782492e-05,"TRINITY_DN826_c0_g1/TRINITY_DN3872_c0_g1/TRINITY_DN1982_c0_g1/TRINITY_DN338_c0_g1/TRINITY_DN12711_c0_g1/TRINITY_DN2357_c1_g1/TRINITY_DN6503_c0_g1/TRINITY_DN1313_c0_g1/TRINITY_DN536_c1_g1/TRINITY_DN7356_c0_g1/TRINITY_DN1279_c0_g1/TRINITY_DN8667_c0_g1/TRINITY_DN30565_c0_g1/TRINITY_DN2357_c0_g1",14
"GO:0002252","GO:0002252","immune effector process","37/773","298/14268",2.05820256779296e-06,0.000294322967194394,0.000246491915176353,"TRINITY_DN943_c0_g1/TRINITY_DN2206_c0_g1/TRINITY_DN46281_c0_g1/TRINITY_DN58603_c0_g1/TRINITY_DN40817_c0_g1/TRINITY_DN68845_c0_g1/TRINITY_DN68922_c0_g1/TRINITY_DN58865_c0_g1/TRINITY_DN28224_c0_g1/TRINITY_DN58324_c0_g1/TRINITY_DN2312_c0_g1/TRINITY_DN33724_c0_g1/TRINITY_DN18671_c0_g1/TRINITY_DN34576_c0_g1/TRINITY_DN51002_c0_g1/TRINITY_DN27835_c0_g1/TRINITY_DN53668_c0_g1/TRINITY_DN63530_c0_g1/TRINITY_DN60691_c0_g1/TRINITY_DN16495_c0_g1/TRINITY_DN35040_c0_g1/TRINITY_DN35867_c0_g1/TRINITY_DN37001_c0_g1/TRINITY_DN53118_c0_g1/TRINITY_DN32869_c0_g1/TRINITY_DN52102_c0_g1/TRINITY_DN64698_c0_g1/TRINITY_DN57101_c0_g1/TRINITY_DN64999_c0_g1/TRINITY_DN39703_c0_g1/TRINITY_DN28381_c0_g1/TRINITY_DN2787_c0_g1/TRINITY_DN54342_c0_g1/TRINITY_DN59030_c0_g1/TRINITY_DN54724_c0_g1/TRINITY_DN26630_c0_g1/TRINITY_DN48862_c0_g1",37
"GO:0007399","GO:0007399","nervous system development","44/773","385/14268",2.20474730903802e-06,0.000301571088444939,0.000252562128811083,"TRINITY_DN5785_c0_g1/TRINITY_DN15331_c0_g1/TRINITY_DN25520_c0_g1/TRINITY_DN47537_c0_g1/TRINITY_DN40817_c0_g1/TRINITY_DN32620_c0_g1/TRINITY_DN14284_c0_g1/TRINITY_DN48578_c0_g1/TRINITY_DN34893_c0_g1/TRINITY_DN34576_c0_g1/TRINITY_DN48016_c0_g1/TRINITY_DN41730_c0_g1/TRINITY_DN49547_c0_g1/TRINITY_DN31092_c0_g1/TRINITY_DN53668_c0_g1/TRINITY_DN60485_c0_g1/TRINITY_DN63938_c0_g1/TRINITY_DN35040_c0_g1/TRINITY_DN46992_c0_g1/TRINITY_DN39198_c0_g1/TRINITY_DN17211_c0_g1/TRINITY_DN53936_c0_g1/TRINITY_DN36719_c0_g1/TRINITY_DN52316_c0_g1/TRINITY_DN51712_c0_g1/TRINITY_DN54943_c0_g1/TRINITY_DN46255_c0_g1/TRINITY_DN43248_c0_g1/TRINITY_DN40065_c0_g1/TRINITY_DN35524_c0_g1/TRINITY_DN8450_c0_g1/TRINITY_DN66111_c0_g1/TRINITY_DN65776_c0_g1/TRINITY_DN33322_c0_g1/TRINITY_DN33922_c0_g1/TRINITY_DN43507_c0_g1/TRINITY_DN51440_c0_g1/TRINITY_DN47600_c0_g1/TRINITY_DN68868_c0_g1/TRINITY_DN39907_c0_g1/TRINITY_DN57328_c0_g1/TRINITY_DN46826_c0_g1/TRINITY_DN59305_c0_g1/TRINITY_DN44897_c0_g1",44
"GO:0019730","GO:0019730","antimicrobial humoral response","9/773","24/14268",2.4026842761361e-06,0.000314951863863506,0.000263768365928449,"TRINITY_DN67155_c0_g1/TRINITY_DN68845_c0_g1/TRINITY_DN58324_c0_g1/TRINITY_DN61946_c0_g1/TRINITY_DN16495_c0_g1/TRINITY_DN52102_c0_g1/TRINITY_DN35524_c0_g1/TRINITY_DN57101_c0_g1/TRINITY_DN48961_c0_g1",9
"GO:0007568","GO:0007568","aging","44/773","389/14268",2.90148549071084e-06,0.000351079744376012,0.000294025027661912,"TRINITY_DN24400_c0_g1/TRINITY_DN46281_c0_g1/TRINITY_DN40817_c0_g1/TRINITY_DN36319_c0_g1/TRINITY_DN41635_c1_g1/TRINITY_DN16893_c0_g1/TRINITY_DN17520_c0_g1/TRINITY_DN914_c2_g1/TRINITY_DN2312_c0_g1/TRINITY_DN6213_c0_g1/TRINITY_DN13873_c0_g1/TRINITY_DN14284_c0_g1/TRINITY_DN34893_c0_g1/TRINITY_DN34576_c0_g1/TRINITY_DN46201_c0_g1/TRINITY_DN59326_c0_g1/TRINITY_DN31092_c0_g1/TRINITY_DN3042_c0_g2/TRINITY_DN64956_c0_g1/TRINITY_DN49099_c0_g1/TRINITY_DN8344_c1_g1/TRINITY_DN10479_c0_g1/TRINITY_DN35040_c0_g1/TRINITY_DN6683_c0_g1/TRINITY_DN39198_c0_g1/TRINITY_DN57774_c0_g1/TRINITY_DN14408_c0_g1/TRINITY_DN53118_c0_g1/TRINITY_DN6308_c0_g1/TRINITY_DN53936_c0_g1/TRINITY_DN48729_c0_g1/TRINITY_DN57314_c0_g1/TRINITY_DN1310_c0_g1/TRINITY_DN46255_c0_g1/TRINITY_DN18505_c0_g1/TRINITY_DN2826_c0_g1/TRINITY_DN33922_c0_g1/TRINITY_DN34137_c0_g1/TRINITY_DN39692_c0_g1/TRINITY_DN19795_c0_g1/TRINITY_DN46645_c0_g1/TRINITY_DN42665_c0_g1/TRINITY_DN496_c0_g1/TRINITY_DN7172_c0_g1",44
