"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","GO:0015979","photosynthesis","155/4858","222/21845",5.00167398681368e-52,1.1758935542999e-48,9.03986761616746e-49,"AT1G01790/AT1G05385/AT1G06430/AT1G06680/AT1G08380/AT1G11750/AT1G12000/AT1G12900/AT1G14150/AT1G15820/AT1G15980/AT1G16720/AT1G18730/AT1G19150/AT1G20020/AT1G20950/AT1G22700/AT1G27730/AT1G32060/AT1G32070/AT1G34000/AT1G42970/AT1G43670/AT1G45474/AT1G49975/AT1G50250/AT1G54500/AT1G54780/AT1G55370/AT1G55480/AT1G55670/AT1G60950/AT1G61520/AT1G61800/AT1G64150/AT1G64770/AT1G64810/AT1G64860/AT1G67740/AT1G67840/AT1G68830/AT1G70760/AT1G71500/AT1G73060/AT1G75690/AT1G76450/AT1G76550/AT1G76570/AT1G77090/AT1G79040/AT2G01590/AT2G05620/AT2G06520/AT2G18790/AT2G20890/AT2G21970/AT2G28605/AT2G30570/AT2G30950/AT2G34860/AT2G39470/AT2G40100/AT2G40300/AT2G45770/AT2G46820/AT2G47400/AT3G01440/AT3G01480/AT3G01500/AT3G03630/AT3G04790/AT3G08010/AT3G08940/AT3G11670/AT3G12780/AT3G14395/AT3G15095/AT3G15850/AT3G16250/AT3G21200/AT3G26650/AT3G27925/AT3G47470/AT3G50820/AT3G53920/AT3G54050/AT3G54110/AT3G54890/AT3G55250/AT3G55330/AT3G55800/AT3G56090/AT3G56650/AT3G58830/AT3G60370/AT3G60750/AT3G62410/AT4G01800/AT4G02260/AT4G02530/AT4G03280/AT4G04640/AT4G04850/AT4G05180/AT4G09650/AT4G10340/AT4G11960/AT4G18370/AT4G19100/AT4G21280/AT4G22890/AT4G23890/AT4G25910/AT4G27600/AT4G27800/AT4G30950/AT4G31390/AT4G33520/AT4G35250/AT4G35760/AT5G01500/AT5G01530/AT5G01920/AT5G02120/AT5G11450/AT5G15250/AT5G23440/AT5G24120/AT5G39830/AT5G42270/AT5G44650/AT5G52100/AT5G54270/AT5G57030/AT5G61410/AT5G64040/AT5G65810/AT5G66190/AT5G66570/ATCG00270/ATCG00280/ATCG00300/ATCG00340/ATCG00350/ATCG00440/ATCG00520/ATCG00540/ATCG00580/ATCG00680/ATCG00710/ATCG00720/ATCG00730/ATCG01060/ATCG01080/ATCG01100",155
"GO:0009657","GO:0009657","plastid organization","154/4858","302/21845",3.40891493018368e-28,2.00358975021546e-25,1.54029129871721e-25,"AT1G01790/AT1G03160/AT1G06430/AT1G06820/AT1G08540/AT1G09340/AT1G11750/AT1G12410/AT1G15510/AT1G32080/AT1G32500/AT1G35680/AT1G42550/AT1G44575/AT1G45230/AT1G48280/AT1G49970/AT1G50250/AT1G50840/AT1G50900/AT1G58070/AT1G61990/AT1G62010/AT1G62750/AT1G64500/AT1G64810/AT1G65260/AT1G66840/AT1G67440/AT1G68590/AT1G69200/AT1G69390/AT1G70200/AT1G71720/AT1G74730/AT1G75100/AT1G79600/AT1G79850/AT2G01110/AT2G04270/AT2G16365/AT2G17940/AT2G18710/AT2G20570/AT2G20890/AT2G21280/AT2G24060/AT2G25625/AT2G26300/AT2G28800/AT2G30170/AT2G30950/AT2G31040/AT2G31270/AT2G31530/AT2G31840/AT2G32480/AT2G33800/AT2G34860/AT2G36000/AT2G36250/AT2G38140/AT2G38370/AT2G39290/AT2G40480/AT2G41660/AT2G42540/AT2G45770/AT2G46340/AT2G46820/AT2G48120/AT3G06730/AT3G07700/AT3G08010/AT3G10670/AT3G12780/AT3G13190/AT3G23400/AT3G24590/AT3G25690/AT3G26900/AT3G29185/AT3G45780/AT3G46630/AT3G47450/AT3G47520/AT3G51720/AT3G53890/AT3G54090/AT3G54990/AT3G56290/AT3G56910/AT3G56940/AT3G57190/AT3G58830/AT3G62910/AT3G63140/AT3G63190/AT4G01150/AT4G01800/AT4G04850/AT4G13670/AT4G14870/AT4G16390/AT4G18160/AT4G20130/AT4G20360/AT4G22260/AT4G25910/AT4G26150/AT4G27670/AT4G27990/AT4G28740/AT4G31390/AT4G31780/AT4G33460/AT4G34090/AT4G37650/AT4G38160/AT5G02250/AT5G07900/AT5G10470/AT5G12130/AT5G13770/AT5G15250/AT5G15450/AT5G18570/AT5G19540/AT5G22370/AT5G22830/AT5G23120/AT5G23730/AT5G24020/AT5G24120/AT5G36170/AT5G42270/AT5G42310/AT5G44190/AT5G44650/AT5G45390/AT5G46290/AT5G46860/AT5G48470/AT5G50920/AT5G53280/AT5G54600/AT5G55580/AT5G56860/AT5G58140/AT5G58650/AT5G58770/AT5G61670/AT5G63420/AT5G65460",154
"GO:0009415","GO:0009415","response to water","149/4858","394/21845",1.24989281327021e-12,3.54252021897219e-10,2.72336842820536e-10,"AT1G01620/AT1G02205/AT1G02730/AT1G02820/AT1G05260/AT1G08810/AT1G09340/AT1G11755/AT1G12110/AT1G12480/AT1G15690/AT1G20440/AT1G20450/AT1G22190/AT1G27320/AT1G27730/AT1G30100/AT1G32080/AT1G32230/AT1G32560/AT1G32640/AT1G36060/AT1G44170/AT1G46768/AT1G47128/AT1G52340/AT1G52400/AT1G54160/AT1G56280/AT1G56600/AT1G61660/AT1G62660/AT1G64660/AT1G67360/AT1G68010/AT1G68820/AT1G69310/AT1G69600/AT1G69700/AT1G73330/AT1G76080/AT1G76180/AT1G77120/AT1G79410/AT1G79600/AT2G04030/AT2G05520/AT2G05620/AT2G17820/AT2G17840/AT2G20890/AT2G25180/AT2G28740/AT2G29130/AT2G31650/AT2G33380/AT2G35930/AT2G37040/AT2G37770/AT2G38750/AT2G40750/AT2G40880/AT2G41230/AT2G41540/AT2G41870/AT2G42540/AT2G42620/AT2G45960/AT2G46140/AT2G46590/AT2G47180/AT2G47780/AT3G05500/AT3G05640/AT3G09940/AT3G11020/AT3G11410/AT3G12490/AT3G13672/AT3G14080/AT3G14440/AT3G16800/AT3G19580/AT3G23050/AT3G23250/AT3G23830/AT3G23920/AT3G24140/AT3G24500/AT3G26090/AT3G26830/AT3G28270/AT3G29320/AT3G30775/AT3G44380/AT3G45140/AT3G46970/AT3G47600/AT3G51920/AT3G52450/AT3G53420/AT3G57540/AT3G59380/AT3G61430/AT3G61890/AT3G63520/AT4G02280/AT4G04330/AT4G05590/AT4G15910/AT4G17615/AT4G20260/AT4G23400/AT4G27410/AT4G31390/AT4G33950/AT4G34220/AT4G34240/AT5G01820/AT5G05860/AT5G06530/AT5G07690/AT5G08620/AT5G10230/AT5G13030/AT5G13330/AT5G14420/AT5G20830/AT5G23010/AT5G24030/AT5G24090/AT5G25610/AT5G27930/AT5G38710/AT5G44650/AT5G47120/AT5G49630/AT5G50720/AT5G52050/AT5G52440/AT5G58670/AT5G59310/AT5G59320/AT5G62470/AT5G63850/AT5G63980/AT5G64960/AT5G66880/AT5G67030",149
"GO:0009409","GO:0009409","response to cold","153/4858","418/21845",1.19857360056815e-11,2.16757425764286e-09,1.66635698151863e-09,"AT1G01060/AT1G01140/AT1G02270/AT1G03680/AT1G05140/AT1G05200/AT1G05260/AT1G05690/AT1G06960/AT1G07720/AT1G08810/AT1G09340/AT1G09560/AT1G09760/AT1G09780/AT1G10760/AT1G13980/AT1G14140/AT1G16880/AT1G17610/AT1G20440/AT1G20450/AT1G20823/AT1G21760/AT1G22190/AT1G22770/AT1G23740/AT1G27320/AT1G27730/AT1G31812/AT1G32060/AT1G33410/AT1G35680/AT1G42970/AT1G45474/AT1G46768/AT1G50460/AT1G55490/AT1G56600/AT1G61520/AT1G63940/AT1G67280/AT1G68530/AT1G70200/AT1G76180/AT1G77120/AT1G77490/AT1G79410/AT2G16280/AT2G17840/AT2G18790/AT2G19450/AT2G21060/AT2G23380/AT2G26250/AT2G27710/AT2G27720/AT2G28900/AT2G31180/AT2G33380/AT2G33800/AT2G36530/AT2G37190/AT2G37220/AT2G37770/AT2G38170/AT2G38750/AT2G39460/AT2G39730/AT2G40880/AT2G42530/AT2G42540/AT2G46090/AT2G46590/AT2G47180/AT2G47730/AT3G01500/AT3G02790/AT3G03050/AT3G04880/AT3G05890/AT3G06510/AT3G09200/AT3G09260/AT3G11410/AT3G12490/AT3G12780/AT3G14080/AT3G16450/AT3G16460/AT3G17020/AT3G20930/AT3G21300/AT3G22370/AT3G23000/AT3G23250/AT3G23700/AT3G23830/AT3G24440/AT3G26650/AT3G26744/AT3G47470/AT3G47520/AT3G48360/AT3G49910/AT3G54050/AT3G54890/AT3G55280/AT3G61580/AT3G62410/AT4G04330/AT4G09650/AT4G12470/AT4G15910/AT4G15920/AT4G17090/AT4G17615/AT4G20260/AT4G21150/AT4G24280/AT4G24770/AT4G28210/AT4G30200/AT4G35090/AT4G36930/AT4G37610/AT4G37930/AT4G38840/AT5G01820/AT5G06290/AT5G08620/AT5G10230/AT5G12250/AT5G13330/AT5G20250/AT5G20830/AT5G24090/AT5G37770/AT5G38480/AT5G50720/AT5G51820/AT5G52440/AT5G54770/AT5G58670/AT5G58770/AT5G61410/AT5G62390/AT5G62470/AT5G63770/AT5G63980/AT5G65430/ATCG00120/ATCG00480",153
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process","174/4858","492/21845",1.32226504712646e-11,2.22046080413879e-09,1.70701435031288e-09,"AT1G01480/AT1G04640/AT1G04710/AT1G07720/AT1G08110/AT1G08550/AT1G08640/AT1G09780/AT1G10670/AT1G12050/AT1G13280/AT1G13440/AT1G13930/AT1G19250/AT1G20510/AT1G22170/AT1G24180/AT1G24360/AT1G28380/AT1G30100/AT1G43800/AT1G50460/AT1G52340/AT1G52400/AT1G55020/AT1G61850/AT1G63970/AT1G64190/AT1G64400/AT1G65290/AT1G65690/AT1G67080/AT1G67280/AT1G68530/AT1G70480/AT1G72520/AT1G73680/AT1G73805/AT1G74030/AT1G76150/AT1G77590/AT1G79700/AT1G80950/AT2G01140/AT2G04240/AT2G05990/AT2G06050/AT2G11810/AT2G15090/AT2G16280/AT2G16790/AT2G18790/AT2G18950/AT2G20610/AT2G21330/AT2G22780/AT2G24300/AT2G26250/AT2G26930/AT2G27150/AT2G29090/AT2G29980/AT2G31360/AT2G33380/AT2G34770/AT2G36530/AT2G37040/AT2G38010/AT2G43360/AT2G43710/AT2G45690/AT2G47240/AT3G01420/AT3G02360/AT3G02630/AT3G03710/AT3G04120/AT3G06350/AT3G06470/AT3G06650/AT3G07560/AT3G08590/AT3G10870/AT3G11670/AT3G12780/AT3G14110/AT3G14440/AT3G14990/AT3G15690/AT3G15850/AT3G19260/AT3G26744/AT3G29770/AT3G45140/AT3G47450/AT3G48460/AT3G48720/AT3G49160/AT3G50440/AT3G52430/AT3G52930/AT3G54010/AT3G56130/AT3G58750/AT3G62130/AT4G00360/AT4G05160/AT4G09900/AT4G14070/AT4G15440/AT4G15560/AT4G16800/AT4G18350/AT4G18360/AT4G20870/AT4G24510/AT4G25050/AT4G26520/AT4G26530/AT4G27030/AT4G29010/AT4G29220/AT4G30440/AT4G30950/AT4G31500/AT4G32770/AT4G33950/AT4G34250/AT4G34350/AT4G36830/AT4G37150/AT4G37770/AT4G38970/AT4G39030/AT4G39850/AT5G02890/AT5G03860/AT5G04230/AT5G04620/AT5G04760/AT5G06580/AT5G07010/AT5G08570/AT5G09660/AT5G10300/AT5G15530/AT5G20410/AT5G23190/AT5G27600/AT5G35360/AT5G38020/AT5G42650/AT5G46290/AT5G47120/AT5G47630/AT5G47720/AT5G48230/AT5G48840/AT5G48880/AT5G49460/AT5G50850/AT5G52810/AT5G57590/AT5G58310/AT5G58860/AT5G59770/AT5G60600/AT5G62470/AT5G62570/AT5G63560/AT5G63680/AT5G63980/AT5G65010/AT5G67030",174
"GO:0042440","GO:0042440","pigment metabolic process","79/4858","177/21845",2.68346125340278e-11,3.71299596750354e-09,2.85442435523678e-09,"AT1G03475/AT1G03630/AT1G06820/AT1G09530/AT1G10670/AT1G12910/AT1G19670/AT1G27320/AT1G27450/AT1G30530/AT1G31800/AT1G56650/AT1G63970/AT1G64520/AT1G69690/AT1G69720/AT1G71030/AT2G20180/AT2G20570/AT2G20890/AT2G25180/AT2G26170/AT2G26670/AT2G28350/AT2G30390/AT2G32950/AT2G40490/AT2G43000/AT2G48120/AT3G02780/AT3G03710/AT3G04870/AT3G10230/AT3G11945/AT3G14110/AT3G21200/AT3G21560/AT3G44880/AT3G48730/AT3G51820/AT3G53130/AT3G56940/AT4G13250/AT4G14210/AT4G15560/AT4G17600/AT4G17880/AT4G18480/AT4G22260/AT4G22920/AT4G25700/AT4G26150/AT4G27430/AT4G27830/AT4G31390/AT4G37000/AT5G04900/AT5G05860/AT5G06130/AT5G13630/AT5G13680/AT5G13800/AT5G16440/AT5G17230/AT5G43430/AT5G44190/AT5G45930/AT5G47110/AT5G47990/AT5G49660/AT5G50920/AT5G54160/AT5G56860/AT5G57030/AT5G58250/AT5G61670/AT5G63590/AT5G63600/AT5G67030",79
"GO:0016108","GO:0016108","tetraterpenoid metabolic process","26/4858","34/21845",2.68485459155934e-11,3.71299596750354e-09,2.85442435523678e-09,"AT1G06820/AT1G08550/AT1G10670/AT1G31800/AT1G63970/AT1G67080/AT2G26170/AT2G26670/AT2G48120/AT3G03710/AT3G04870/AT3G10230/AT3G11945/AT3G53130/AT3G63520/AT4G00370/AT4G14210/AT4G22260/AT4G25700/AT4G31390/AT4G32770/AT5G06130/AT5G17230/AT5G57030/AT5G61670/AT5G67030",26
"GO:0016116","GO:0016116","carotenoid metabolic process","26/4858","34/21845",2.68485459155934e-11,3.71299596750354e-09,2.85442435523678e-09,"AT1G06820/AT1G08550/AT1G10670/AT1G31800/AT1G63970/AT1G67080/AT2G26170/AT2G26670/AT2G48120/AT3G03710/AT3G04870/AT3G10230/AT3G11945/AT3G53130/AT3G63520/AT4G00370/AT4G14210/AT4G22260/AT4G25700/AT4G31390/AT4G32770/AT5G06130/AT5G17230/AT5G57030/AT5G61670/AT5G67030",26
"GO:0019748","GO:0019748","secondary metabolic process","134/4858","360/21845",6.01911357114596e-11,7.07546800288208e-09,5.43937789560927e-09,"AT1G02950/AT1G04710/AT1G07640/AT1G10360/AT1G12140/AT1G12160/AT1G12630/AT1G13930/AT1G16490/AT1G17170/AT1G17180/AT1G18590/AT1G24100/AT1G24625/AT1G32640/AT1G52340/AT1G52400/AT1G54040/AT1G59670/AT1G59700/AT1G61820/AT1G62560/AT1G64160/AT1G65690/AT1G68320/AT1G68360/AT1G69920/AT1G69930/AT1G71030/AT1G72680/AT1G73270/AT1G74090/AT1G74100/AT1G74590/AT1G76790/AT1G79180/AT2G14750/AT2G20610/AT2G22420/AT2G22920/AT2G22970/AT2G22980/AT2G22990/AT2G29440/AT2G29460/AT2G29470/AT2G29480/AT2G29490/AT2G30490/AT2G30770/AT2G30860/AT2G35450/AT2G37040/AT2G37360/AT2G40890/AT2G43000/AT2G43100/AT2G44130/AT2G44490/AT2G46590/AT2G47730/AT3G03190/AT3G09260/AT3G09270/AT3G10450/AT3G11430/AT3G11580/AT3G11670/AT3G13610/AT3G16340/AT3G19450/AT3G19710/AT3G19820/AT3G21240/AT3G21560/AT3G22890/AT3G23590/AT3G26744/AT3G26830/AT3G28920/AT3G44320/AT3G44540/AT3G44550/AT3G50740/AT3G52430/AT3G53510/AT3G58990/AT3G60120/AT3G60130/AT3G60140/AT4G01070/AT4G12030/AT4G13430/AT4G13660/AT4G13770/AT4G14680/AT4G19370/AT4G23690/AT4G30530/AT4G30550/AT4G31500/AT4G34050/AT4G36220/AT4G37400/AT4G37410/AT4G37430/AT4G37750/AT4G38620/AT4G39230/AT4G39940/AT5G03260/AT5G04230/AT5G04760/AT5G05340/AT5G07690/AT5G13330/AT5G13580/AT5G22500/AT5G23010/AT5G23190/AT5G41040/AT5G43780/AT5G48880/AT5G49660/AT5G52240/AT5G54160/AT5G58860/AT5G60020/AT5G61420/AT5G62470/AT5G62480/AT5G63560/AT5G65410/AT5G65640",134
"GO:0009642","GO:0009642","response to light intensity","69/4858","153/21845",2.70726711122512e-10,2.89308408113193e-08,2.22410412917394e-08,"AT1G02330/AT1G06430/AT1G08810/AT1G09570/AT1G10522/AT1G11755/AT1G27730/AT1G31812/AT1G34000/AT1G45474/AT1G50250/AT1G54520/AT1G55480/AT1G58340/AT1G60950/AT1G61520/AT1G61800/AT1G64520/AT1G67740/AT1G68830/AT1G71030/AT1G79600/AT2G05620/AT2G06850/AT2G17840/AT2G18790/AT2G21970/AT2G26300/AT2G30950/AT2G32950/AT2G33390/AT2G39460/AT2G42540/AT2G43010/AT3G02730/AT3G02790/AT3G03630/AT3G06850/AT3G15850/AT3G47470/AT3G50820/AT3G54890/AT3G55280/AT3G59060/AT3G59220/AT3G62030/AT4G01800/AT4G04850/AT4G14890/AT4G15920/AT4G22260/AT4G30950/AT4G32770/AT4G33950/AT4G34190/AT4G37270/AT5G02120/AT5G07690/AT5G08560/AT5G15250/AT5G16400/AT5G18100/AT5G24090/AT5G37770/AT5G42270/AT5G46110/AT5G54270/AT5G64940/AT5G66570",69
