"gene" "hog" "phylostrata" "age"
"1" "TRINITY_DN0_c0_g1" "HOG:A0238626" "Viridiplantae" "UC"
"2" "TRINITY_DN1_c0_g1" "HOG:A0562631" "Eukaryota" "UC"
"3" "TRINITY_DN10_c0_g1" "HOG:A0235713" "Embryophyta" "MC"
"4" "TRINITY_DN1000_c0_g1" "HOG:A0567045" "Eukaryota" "UC"
"5" "TRINITY_DN10001_c0_g1" "HOG:A0562172" "Eukaryota" "UC"
"6" "TRINITY_DN10006_c0_g1" "HOG:A0583011" "Eukaryota" "UC"
"7" "TRINITY_DN10007_c0_g1" "HOG:A0562874" "Eukaryota" "UC"
"8" "TRINITY_DN10009_c0_g1" "HOG:A0563443" "Eukaryota" "UC"
"9" "TRINITY_DN1001_c0_g1" "HOG:A0236494" "Embryophyta" "MC"
"10" "TRINITY_DN10011_c0_g1" "HOG:A0206487" "Pentapetalae" "MC"
"11" "TRINITY_DN10014_c0_g1" "HOG:A0554823" "Opisthokonta" "MC"
"12" "TRINITY_DN10015_c0_g1" "HOG:A0786653" "LUCA" "UC"
"13" "TRINITY_DN10017_c0_g1" "HOG:A0167676" "asterids" "MC"
"14" "TRINITY_DN10018_c0_g1" "HOG:A0222135" "Magnoliopsida" "MC"
"15" "TRINITY_DN10019_c0_g1" "HOG:A0202787" "Pentapetalae" "MC"
"16" "TRINITY_DN1002_c0_g1" "HOG:A0226651" "Spermatophyta" "MC"
"17" "TRINITY_DN10020_c0_g1" "HOG:A0563154" "Eukaryota" "UC"
"18" "TRINITY_DN10021_c0_g1" "HOG:A0571982" "Eukaryota" "UC"
"19" "TRINITY_DN10022_c0_g1" "HOG:A0569201" "Eukaryota" "UC"
"20" "TRINITY_DN10023_c0_g1" "HOG:A0563208" "Eukaryota" "UC"
"21" "TRINITY_DN10024_c0_g1" "HOG:A0576919" "Eukaryota" "UC"
"22" "TRINITY_DN10025_c0_g1" "HOG:A0239688" "Viridiplantae" "UC"
"23" "TRINITY_DN10029_c0_g1" "HOG:A0207052" "Pentapetalae" "MC"
"24" "TRINITY_DN1003_c0_g1" "HOG:A0174224" "fabids" "MC"
"25" "TRINITY_DN10034_c0_g1" "HOG:A0576041" "Eukaryota" "UC"
"26" "TRINITY_DN10035_c0_g1" "HOG:A0781284" "LUCA" "UC"
"27" "TRINITY_DN10037_c0_g1" "HOG:A0569940" "Eukaryota" "UC"
"28" "TRINITY_DN10038_c0_g1" "HOG:A0779720" "LUCA" "UC"
"29" "TRINITY_DN10039_c0_g1" "HOG:A0562351" "Eukaryota" "UC"
"30" "TRINITY_DN10040_c0_g1" "HOG:A0562223" "Eukaryota" "UC"
"31" "TRINITY_DN10042_c0_g1" "HOG:A0212099" "Mesangiospermae" "MC"
"32" "TRINITY_DN10046_c0_g1" "HOG:A0168374" "asterids" "MC"
"33" "TRINITY_DN10049_c0_g1" "HOG:A0780377" "LUCA" "UC"
"34" "TRINITY_DN10051_c0_g1" "HOG:A0570330" "Eukaryota" "UC"
"35" "TRINITY_DN10054_c0_g1" "HOG:A0237152" "Streptophyta" "MC"
"36" "TRINITY_DN10056_c0_g1" "HOG:A0562172" "Eukaryota" "UC"
"37" "TRINITY_DN10059_c0_g1" "HOG:A0568400" "Eukaryota" "UC"
"38" "TRINITY_DN10062_c0_g1" "HOG:A0239415" "Viridiplantae" "UC"
"39" "TRINITY_DN10066_c0_g1" "HOG:A0572356" "Eukaryota" "UC"
"40" "TRINITY_DN10068_c0_g1" "HOG:A0562200" "Eukaryota" "UC"
"41" "TRINITY_DN1007_c0_g1" "HOG:A0562562" "Eukaryota" "UC"
"42" "TRINITY_DN10070_c0_g1" "HOG:A0566632" "Eukaryota" "UC"
"43" "TRINITY_DN10073_c0_g1" "HOG:A0232950" "Tracheophyta" "MC"
"44" "TRINITY_DN10074_c0_g1" "HOG:A0220652" "Magnoliopsida" "MC"
"45" "TRINITY_DN10075_c0_g1" "HOG:A0206402" "Pentapetalae" "MC"
"46" "TRINITY_DN10076_c0_g1" "HOG:A0220229" "Magnoliopsida" "MC"
"47" "TRINITY_DN1008_c0_g1" "HOG:A0567246" "Eukaryota" "UC"
"48" "TRINITY_DN10081_c0_g1" "HOG:A0583250" "Eukaryota" "UC"
"49" "TRINITY_DN10082_c0_g1" "HOG:A0220744" "Magnoliopsida" "MC"
"50" "TRINITY_DN10084_c0_g1" "HOG:A0236522" "Embryophyta" "MC"
"51" "TRINITY_DN10085_c0_g1" "HOG:A0206083" "Pentapetalae" "MC"
"52" "TRINITY_DN10086_c0_g1" "HOG:A0566739" "Eukaryota" "UC"
"53" "TRINITY_DN10087_c0_g1" "HOG:A0567142" "Eukaryota" "UC"
"54" "TRINITY_DN10088_c0_g1" "HOG:A0564940" "Eukaryota" "UC"
"55" "TRINITY_DN10089_c0_g1" "HOG:A0563881" "Eukaryota" "UC"
"56" "TRINITY_DN1009_c0_g1" "HOG:A0562365" "Eukaryota" "UC"
"57" "TRINITY_DN10090_c0_g1" "HOG:A0237557" "Streptophyta" "MC"
"58" "TRINITY_DN10092_c0_g1" "HOG:A0167933" "asterids" "MC"
"59" "TRINITY_DN10093_c0_g1" "HOG:A0234197" "Embryophyta" "MC"
"60" "TRINITY_DN10094_c0_g1" "HOG:A0167874" "asterids" "MC"
