"gene" "hog_correct" "hog_id"
"1" "TRINITY_DN10002_c0_g1" "Opisthokonta" "HOG:A0554823"
"2" "TRINITY_DN1002_c0_g1" "Magnoliopsida" "HOG:A0222104"
"3" "TRINITY_DN10079_c0_g1" "Pentapetalae" "HOG:A0202427"
"4" "TRINITY_DN10118_c0_g1" "Bacteria" "HOG:A0757611"
"5" "TRINITY_DN10162_c0_g1" "Magnoliopsida" "HOG:A0220325"
"6" "TRINITY_DN10213_c0_g1" "Pentapetalae" "HOG:A0204967"
"7" "TRINITY_DN10240_c0_g1" "Magnoliopsida" "HOG:A0220016"
"8" "TRINITY_DN10267_c0_g1" "Viridiplantae" "HOG:A0238777"
"9" "TRINITY_DN10370_c0_g1" "Spermatophyta" "HOG:A0223285"
"10" "TRINITY_DN10447_c0_g1" "Euteleostomi" "HOG:A0515262"
"11" "TRINITY_DN10450_c0_g1" "Magnoliopsida" "HOG:A0220074"
"12" "TRINITY_DN1050_c0_g1" "Magnoliopsida" "HOG:A0222195"
"13" "TRINITY_DN10503_c1_g1" "Mesangiospermae" "HOG:A0216561"
"14" "TRINITY_DN10509_c0_g1" "Eukaryota" "HOG:A0585181"
"15" "TRINITY_DN1059_c0_g1" "Embryophyta" "HOG:A0234613"
"16" "TRINITY_DN106_c0_g1" "Eukaryota" "HOG:A0562172"
"17" "TRINITY_DN10632_c0_g1" "Opisthokonta" "HOG:A0555011"
"18" "TRINITY_DN10692_c0_g1" "Bacteria" "HOG:A0759188"
"19" "TRINITY_DN10697_c0_g1" "Mesangiospermae" "HOG:A0212090"
"20" "TRINITY_DN10743_c0_g1" "Opisthokonta" "HOG:A0554954"
"21" "TRINITY_DN10788_c0_g1" "LUCA" "HOG:A0780000"
"22" "TRINITY_DN10822_c0_g1" "Pentapetalae" "HOG:A0203025"
"23" "TRINITY_DN10838_c0_g1" "rosids" "HOG:A0198290"
"24" "TRINITY_DN10853_c0_g1" "Pentapetalae" "HOG:A0203430"
"25" "TRINITY_DN10881_c0_g1" "Magnoliopsida" "HOG:A0220877"
"26" "TRINITY_DN11006_c0_g1" "Viridiplantae" "HOG:A0240216"
"27" "TRINITY_DN11124_c0_g1" "Eukaryota" "HOG:A0570469"
"28" "TRINITY_DN11220_c0_g1" "Eukaryota" "HOG:A0563677"
"29" "TRINITY_DN11277_c0_g1" "Magnoliopsida" "HOG:A0219833"
"30" "TRINITY_DN11279_c0_g1" "Magnoliopsida" "HOG:A0220395"
"31" "TRINITY_DN11349_c0_g1" "Spermatophyta" "HOG:A0223656"
"32" "TRINITY_DN11411_c0_g1" "rosids" "HOG:A0199237"
"33" "TRINITY_DN11423_c0_g1" "Magnoliopsida" "HOG:A0221647"
"34" "TRINITY_DN11448_c0_g1" "Embryophyta" "HOG:A0236851"
"35" "TRINITY_DN1154_c1_g1" "Eukaryota" "HOG:A0570822"
"36" "TRINITY_DN11543_c0_g1" "Viridiplantae" "HOG:A0238644"
"37" "TRINITY_DN11554_c0_g1" "Spermatophyta" "HOG:A0228897"
"38" "TRINITY_DN11572_c0_g1" "Eukaryota" "HOG:A0562705"
"39" "TRINITY_DN11588_c0_g1" "Euteleostomi" "HOG:A0515562"
"40" "TRINITY_DN11617_c0_g2" "Pentapetalae" "HOG:A0203084"
"41" "TRINITY_DN11626_c0_g1" "rosids" "HOG:A0199781"
"42" "TRINITY_DN11628_c0_g1" "Tracheophyta" "HOG:A0232620"
"43" "TRINITY_DN11664_c0_g1" "Eukaryota" "HOG:A0562422"
"44" "TRINITY_DN11665_c0_g1" "Embryophyta" "HOG:A0235430"
"45" "TRINITY_DN11704_c0_g1" "Pentapetalae" "HOG:A0206212"
"46" "TRINITY_DN11738_c0_g1" "Embryophyta" "HOG:A0234058"
"47" "TRINITY_DN11742_c0_g1" "rosids" "HOG:A0199522"
"48" "TRINITY_DN11854_c0_g1" "Pentapetalae" "HOG:A0203452"
"49" "TRINITY_DN11856_c0_g1" "Embryophyta" "HOG:A0235134"
"50" "TRINITY_DN11915_c0_g1" "Spermatophyta" "HOG:A0224100"
"51" "TRINITY_DN12013_c0_g1" "LUCA" "HOG:A0785621"
"52" "TRINITY_DN12037_c0_g1" "Pentapetalae" "HOG:A0202938"
"53" "TRINITY_DN12145_c0_g1" "fabids" "HOG:A0174300"
"54" "TRINITY_DN1215_c0_g1" "Mesangiospermae" "HOG:A0212954"
"55" "TRINITY_DN12162_c1_g1" "Mesangiospermae" "HOG:A0214839"
"56" "TRINITY_DN12164_c0_g1" "fabids" "HOG:A0174413"
"57" "TRINITY_DN12175_c0_g1" "Eukaryota" "HOG:A0563247"
"58" "TRINITY_DN122_c0_g2" "commelinids" "HOG:A0157653"
"59" "TRINITY_DN12205_c0_g1" "Eukaryota" "HOG:A0563303"
"60" "TRINITY_DN12225_c0_g1" "malvids" "HOG:A0197042"
"61" "TRINITY_DN12272_c0_g1" "fabids" "HOG:A0174102"
"62" "TRINITY_DN1238_c0_g1" "Embryophyta" "HOG:A0234407"
"63" "TRINITY_DN1240_c0_g1" "Pentapetalae" "HOG:A0206682"
"64" "TRINITY_DN1241_c0_g1" "rosids" "HOG:A0199139"
"65" "TRINITY_DN1250_c0_g1" "Embryophyta" "HOG:A0234540"
"66" "TRINITY_DN12591_c0_g1" "Eukaryota" "HOG:A0562256"
"67" "TRINITY_DN12646_c0_g1" "Holometabola" "HOG:A0441081"
"68" "TRINITY_DN12683_c0_g1" "Tracheophyta" "HOG:A0232961"
"69" "TRINITY_DN12689_c0_g1" "Viridiplantae" "HOG:A0239650"
"70" "TRINITY_DN12694_c0_g1" "Viridiplantae" "HOG:A0238656"
"71" "TRINITY_DN1272_c0_g1" "Eukaryota" "HOG:A0583286"
"72" "TRINITY_DN12840_c1_g1" "Opisthokonta" "HOG:A0554940"
"73" "TRINITY_DN12874_c0_g1" "LUCA" "HOG:A0785788"
"74" "TRINITY_DN12887_c0_g1" "Magnoliopsida" "HOG:A0220422"
"75" "TRINITY_DN12902_c0_g1" "Pentapetalae" "HOG:A0203603"
"76" "TRINITY_DN12939_c0_g1" "Pentapetalae" "HOG:A0204597"
"77" "TRINITY_DN13003_c0_g1" "rosids" "HOG:A0198099"
"78" "TRINITY_DN13009_c0_g1" "Pentapetalae" "HOG:A0206030"
"79" "TRINITY_DN13164_c0_g1" "Tracheophyta" "HOG:A0232419"
"80" "TRINITY_DN1324_c0_g1" "fabids" "HOG:A0174604"
"81" "TRINITY_DN13480_c0_g1" "rosids" "HOG:A0198572"
