"","AGI","probe_id","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","GO","PATH","oma_id","level","level_name","araID","age"
"1","AT1G01070","261576_at",0.009755,0.000882,-5.61,-0.598109,-0.518,"AT1G01070","nodulin MtN21-like transporter family protein","GO:0048316; GO:0005739; GO:0005886; GO:0015186",NA,15163981,9,"Mesangiospermae","ARATH00015","MC"
"2","AT1G01100","261578_at",0.000656,6.98e-06,12.2,4.577156,0.54,"AT1G01100","60S acidic ribosomal protein P1-1","GO:0002181; GO:0006414; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0022625; GO:0022626; GO:0003735; GO:0030295; GO:0043021",NA,15163987,2,"Eukaryota","ARATH00021","UC"
"3","AT1G01120","261570_at",0.000609,5.86e-06,-12.5,4.75647,-0.895,"KCS1","3-ketoacyl-CoA synthase 1","GO:0000038; GO:0006633; GO:0009409; GO:0009416; GO:0010025; GO:0030497; GO:0042335; GO:0005737; GO:0005783; GO:0016020; GO:0022626; GO:0009922; GO:0102336; GO:0102337; GO:0102338; GO:0102756",NA,15163991,2,"Eukaryota","ARATH00025","UC"
"4","AT1G01300","261055_at",0.002566,9.99e-05,8.05,1.767273,0.621,"AT1G01300","aspartyl protease family protein","GO:0006508; GO:0030163; GO:0080167; GO:0005576; GO:0009505; GO:0004190",NA,15164018,5,"Embryophyta","ARATH00052","MC"
"5","AT1G01360","261056_at",0.020454,0.00264,-4.6,-1.793217,-0.623,"RCAR1","regulatory component of ABA receptor 1","GO:0009738; GO:0080163; GO:0005634; GO:0005737; GO:0004864; GO:0005515; GO:0010427; GO:0038023","04075",15164031,6,"Tracheophyta","ARATH00065","MC"
"6","AT1G01370","261058_at",0.027569,0.00404,4.24,-2.253295,0.221,"HTR12","Histone H3-like centromeric protein HTR12","GO:0009567; GO:0034508; GO:0051301; GO:0051307; GO:0051321; GO:0000775; GO:0000785; GO:0005634; GO:0005515; GO:0046982",NA,15164032,10,"Pentapetalae","ARATH00066","MC"
"7","AT1G01420","261048_at",0.019732,0.00251,-4.65,-1.736749,-0.25,"UGT72B3","UDP-glucosyltransferase 72B3","GO:0005783; GO:0009507; GO:0043231; GO:0008194; GO:0016757; GO:0080043",NA,15164040,8,"Magnoliopsida","ARATH00074","MC"
"8","AT1G01430","261049_at",0.033992,0.00549,-3.99,-2.585058,-0.263,"TBL25","protein trichome birefringence-like 25","GO:0005794; GO:0016413",NA,15164042,5,"Embryophyta","ARATH00076","MC"
"9","AT1G01470","259426_at",0.004072,0.000215,-7.11,0.937286,-0.353,"LEA14","putative desiccation-related protein LEA14","GO:0009269; GO:0009611; GO:0009644; GO:0050832; GO:0005829; GO:0003674",NA,15164048,5,"Embryophyta","ARATH00082","MC"
"10","AT1G01540","259437_at",0.030606,0.00472,4.12,-2.422445,0.201,"AT1G01540","putative serine/threonine-protein kinase","GO:0006468; GO:0046777; GO:0005886; GO:0009507; GO:0004674; GO:0004675",NA,15164061,11,"rosids","ARATH00095","MC"
"11","AT1G01550","259440_at",0.041516,0.00735,-3.77,-2.898487,-0.35,"BPS1","protein BPS1","GO:0009793; GO:0048364; GO:0048367; GO:0005634; GO:0005886; GO:0003674",NA,15164063,6,"Tracheophyta","ARATH00097","MC"
"12","AT1G01570","259433_at",0.004653,0.00027,-6.85,0.69199,-0.305,"AT1G01570","hypothetical protein","GO:0008150; GO:0005783; GO:0005794; GO:0008375; GO:0016757",NA,15164068,5,"Embryophyta","ARATH00102","MC"
