"transcript" "hog" "id" "phylostrata" "gene"
"1" "TRINITY_DN1_c0_g1_i1" "HOG:A0780166" 780166 "LUCA" "TRINITY_DN1_c0_g1"
"2" "TRINITY_DN10_c0_g1_i1" "HOG:A0785604" 785604 "LUCA" "TRINITY_DN10_c0_g1"
"3" "TRINITY_DN100_c0_g1_i1" "HOG:A0562769" 562769 "Eukaryota" "TRINITY_DN100_c0_g1"
"4" "TRINITY_DN10001_c0_g1_i1" "HOG:A0237151" 237151 "Streptophyta" "TRINITY_DN10001_c0_g1"
"5" "TRINITY_DN10002_c0_g1_i1" "HOG:A0562172" 562172 "Eukaryota" "TRINITY_DN10002_c0_g1"
"6" "TRINITY_DN10003_c0_g1_i1" "HOG:A0563211" 563211 "Eukaryota" "TRINITY_DN10003_c0_g1"
"7" "TRINITY_DN10004_c0_g1_i1" "HOG:A0207239" 207239 "Pentapetalae" "TRINITY_DN10004_c0_g1"
"8" "TRINITY_DN10005_c0_g1_i1" "HOG:A0238317" 238317 "Streptophyta" "TRINITY_DN10005_c0_g1"
"9" "TRINITY_DN10007_c0_g1_i1" "HOG:A0237068" 237068 "Streptophyta" "TRINITY_DN10007_c0_g1"
"10" "TRINITY_DN1001_c0_g1_i1" "HOG:A0213105" 213105 "Mesangiospermae" "TRINITY_DN1001_c0_g1"
"11" "TRINITY_DN10016_c0_g1_i2" "HOG:A0231750" 231750 "Tracheophyta" "TRINITY_DN10016_c0_g1"
"12" "TRINITY_DN10017_c0_g1_i1" "HOG:A0564065" 564065 "Eukaryota" "TRINITY_DN10017_c0_g1"
"13" "TRINITY_DN10019_c0_g1_i1" "HOG:A0779769" 779769 "LUCA" "TRINITY_DN10019_c0_g1"
"14" "TRINITY_DN10024_c0_g1_i1" "HOG:A0211873" 211873 "Mesangiospermae" "TRINITY_DN10024_c0_g1"
"15" "TRINITY_DN10026_c0_g1_i1" "HOG:A0231759" 231759 "Tracheophyta" "TRINITY_DN10026_c0_g1"
"16" "TRINITY_DN10028_c0_g1_i1" "HOG:A0211940" 211940 "Mesangiospermae" "TRINITY_DN10028_c0_g1"
"17" "TRINITY_DN10031_c0_g1_i1" "HOG:A0224933" 224933 "Spermatophyta" "TRINITY_DN10031_c0_g1"
"18" "TRINITY_DN10032_c0_g1_i1" "HOG:A0563385" 563385 "Eukaryota" "TRINITY_DN10032_c0_g1"
"19" "TRINITY_DN10036_c0_g1_i1" "HOG:A0570992" 570992 "Eukaryota" "TRINITY_DN10036_c0_g1"
"20" "TRINITY_DN10038_c0_g1_i1" "HOG:A0234937" 234937 "Embryophyta" "TRINITY_DN10038_c0_g1"
"21" "TRINITY_DN10038_c0_g1_i3" "HOG:A0234937" 234937 "Embryophyta" "TRINITY_DN10038_c0_g1"
"22" "TRINITY_DN1004_c0_g1_i1" "HOG:A0785600" 785600 "LUCA" "TRINITY_DN1004_c0_g1"
"23" "TRINITY_DN10040_c0_g1_i1" "HOG:A0198261" 198261 "rosids" "TRINITY_DN10040_c0_g1"
"24" "TRINITY_DN10040_c0_g1_i3" "HOG:A0198261" 198261 "rosids" "TRINITY_DN10040_c0_g1"
"25" "TRINITY_DN10041_c0_g1_i1" "HOG:A0238872" 238872 "Viridiplantae" "TRINITY_DN10041_c0_g1"
"26" "TRINITY_DN10046_c0_g1_i1" "HOG:A0199253" 199253 "rosids" "TRINITY_DN10046_c0_g1"
"27" "TRINITY_DN10048_c0_g1_i1" "HOG:A0571515" 571515 "Eukaryota" "TRINITY_DN10048_c0_g1"
"28" "TRINITY_DN10049_c0_g1_i1" "HOG:A0234501" 234501 "Embryophyta" "TRINITY_DN10049_c0_g1"
"29" "TRINITY_DN1005_c0_g1_i2" "HOG:A0237175" 237175 "Streptophyta" "TRINITY_DN1005_c0_g1"
"30" "TRINITY_DN10050_c0_g1_i1" "HOG:A0562742" 562742 "Eukaryota" "TRINITY_DN10050_c0_g1"
"31" "TRINITY_DN10051_c0_g1_i1" "HOG:A0757233" 757233 "Bacteria" "TRINITY_DN10051_c0_g1"
"32" "TRINITY_DN10054_c0_g1_i1" "HOG:A0223457" 223457 "Spermatophyta" "TRINITY_DN10054_c0_g1"
"33" "TRINITY_DN10057_c0_g1_i1" "HOG:A0219669" 219669 "Magnoliopsida" "TRINITY_DN10057_c0_g1"
"34" "TRINITY_DN10059_c0_g1_i1" "HOG:A0202565" 202565 "Pentapetalae" "TRINITY_DN10059_c0_g1"
"35" "TRINITY_DN10062_c0_g1_i1" "HOG:A0235029" 235029 "Embryophyta" "TRINITY_DN10062_c0_g1"
