"gene" "hog" "phylostrata" "age"
"1" "TRINITY_DN1_c0_g1" "HOG:A0780166" "LUCA" "UC"
"2" "TRINITY_DN10_c0_g1" "HOG:A0785604" "LUCA" "UC"
"3" "TRINITY_DN100_c0_g1" "HOG:A0562769" "Eukaryota" "UC"
"4" "TRINITY_DN10001_c0_g1" "HOG:A0237151" "Streptophyta" "MC"
"5" "TRINITY_DN10002_c0_g1" "HOG:A0554823" "Opisthokonta" "MC"
"6" "TRINITY_DN10003_c0_g1" "HOG:A0563211" "Eukaryota" "UC"
"7" "TRINITY_DN10004_c0_g1" "HOG:A0207239" "Pentapetalae" "MC"
"8" "TRINITY_DN10005_c0_g1" "HOG:A0238317" "Streptophyta" "MC"
"9" "TRINITY_DN10007_c0_g1" "HOG:A0237068" "Streptophyta" "MC"
"10" "TRINITY_DN1001_c0_g1" "HOG:A0213105" "Mesangiospermae" "MC"
"11" "TRINITY_DN10016_c0_g1" "HOG:A0231750" "Tracheophyta" "MC"
"12" "TRINITY_DN10017_c0_g1" "HOG:A0564065" "Eukaryota" "UC"
"13" "TRINITY_DN10019_c0_g1" "HOG:A0779769" "LUCA" "UC"
"14" "TRINITY_DN10024_c0_g1" "HOG:A0211873" "Mesangiospermae" "MC"
"15" "TRINITY_DN10026_c0_g1" "HOG:A0231759" "Tracheophyta" "MC"
"16" "TRINITY_DN10028_c0_g1" "HOG:A0211940" "Mesangiospermae" "MC"
"17" "TRINITY_DN10031_c0_g1" "HOG:A0224933" "Spermatophyta" "MC"
"18" "TRINITY_DN10032_c0_g1" "HOG:A0563385" "Eukaryota" "UC"
"19" "TRINITY_DN10036_c0_g1" "HOG:A0570992" "Eukaryota" "UC"
"20" "TRINITY_DN10038_c0_g1" "HOG:A0234937" "Embryophyta" "MC"
"21" "TRINITY_DN1004_c0_g1" "HOG:A0785600" "LUCA" "UC"
"22" "TRINITY_DN10040_c0_g1" "HOG:A0198261" "rosids" "MC"
"23" "TRINITY_DN10041_c0_g1" "HOG:A0238872" "Viridiplantae" "UC"
"24" "TRINITY_DN10046_c0_g1" "HOG:A0199253" "rosids" "MC"
"25" "TRINITY_DN10048_c0_g1" "HOG:A0571515" "Eukaryota" "UC"
"26" "TRINITY_DN10049_c0_g1" "HOG:A0234501" "Embryophyta" "MC"
"27" "TRINITY_DN1005_c0_g1" "HOG:A0237175" "Streptophyta" "MC"
"28" "TRINITY_DN10050_c0_g1" "HOG:A0562742" "Eukaryota" "UC"
"29" "TRINITY_DN10051_c0_g1" "HOG:A0757233" "Bacteria" "MC"
"30" "TRINITY_DN10054_c0_g1" "HOG:A0223457" "Spermatophyta" "MC"
"31" "TRINITY_DN10057_c0_g1" "HOG:A0219669" "Magnoliopsida" "MC"
"32" "TRINITY_DN10059_c0_g1" "HOG:A0202565" "Pentapetalae" "MC"
"33" "TRINITY_DN10062_c0_g1" "HOG:A0235029" "Embryophyta" "MC"
"34" "TRINITY_DN10063_c0_g1" "HOG:A0563443" "Eukaryota" "UC"
"35" "TRINITY_DN10066_c0_g1" "HOG:A0563740" "Eukaryota" "UC"
"36" "TRINITY_DN10067_c0_g1" "HOG:A0786123" "LUCA" "UC"
"37" "TRINITY_DN10068_c0_g1" "HOG:A0582575" "Eukaryota" "UC"
"38" "TRINITY_DN10071_c0_g1" "HOG:A0202694" "Pentapetalae" "MC"
"39" "TRINITY_DN10072_c0_g1" "HOG:A0222107" "Magnoliopsida" "MC"
"40" "TRINITY_DN10073_c0_g1" "HOG:A0562268" "Eukaryota" "UC"
"41" "TRINITY_DN10076_c0_g1" "HOG:A0236832" "Embryophyta" "MC"
"42" "TRINITY_DN10077_c0_g1" "HOG:A0576371" "Eukaryota" "UC"
"43" "TRINITY_DN1008_c0_g1" "HOG:A0562172" "Eukaryota" "UC"
"44" "TRINITY_DN10083_c0_g1" "HOG:A0220100" "Magnoliopsida" "MC"
"45" "TRINITY_DN10086_c0_g1" "HOG:A0572339" "Eukaryota" "UC"
"46" "TRINITY_DN10088_c0_g1" "HOG:A0231853" "Tracheophyta" "MC"
"47" "TRINITY_DN10089_c0_g1" "HOG:A0563427" "Eukaryota" "UC"
"48" "TRINITY_DN1009_c0_g1" "HOG:A0779795" "LUCA" "UC"
"49" "TRINITY_DN10092_c0_g1" "HOG:A0220624" "Magnoliopsida" "MC"
"50" "TRINITY_DN10094_c0_g1" "HOG:A0221562" "Magnoliopsida" "MC"
"51" "TRINITY_DN10096_c0_g1" "HOG:A0570451" "Eukaryota" "UC"
"52" "TRINITY_DN10097_c0_g1" "HOG:A0205043" "Pentapetalae" "MC"
"53" "TRINITY_DN10098_c0_g1" "HOG:A0562266" "Eukaryota" "UC"
"54" "TRINITY_DN101_c0_g1" "HOG:A0232731" "Tracheophyta" "MC"
"55" "TRINITY_DN1010_c0_g1" "HOG:A0293657" "Agaricomycetes" "MC"
"56" "TRINITY_DN10100_c0_g1" "HOG:A0233924" "Embryophyta" "MC"
"57" "TRINITY_DN10101_c0_g1" "HOG:A0206552" "Pentapetalae" "MC"
"58" "TRINITY_DN10102_c0_g1" "HOG:A0563797" "Eukaryota" "UC"
"59" "TRINITY_DN10104_c0_g1" "HOG:A0205284" "Pentapetalae" "MC"
"60" "TRINITY_DN10107_c0_g1" "HOG:A0220542" "Magnoliopsida" "MC"
"61" "TRINITY_DN10108_c0_g1" "HOG:A0563751" "Eukaryota" "UC"
"62" "TRINITY_DN10109_c0_g1" "HOG:A0234544" "Embryophyta" "MC"
"63" "TRINITY_DN10110_c0_g1" "HOG:A0573219" "Eukaryota" "UC"
"64" "TRINITY_DN10112_c0_g1" "HOG:A0198044" "rosids" "MC"
"65" "TRINITY_DN10113_c0_g1" "HOG:A0563576" "Eukaryota" "UC"
"66" "TRINITY_DN10114_c0_g1" "HOG:A0237705" "Streptophyta" "MC"
"67" "TRINITY_DN10115_c0_g1" "HOG:A0240015" "Viridiplantae" "UC"
"68" "TRINITY_DN10117_c0_g1" "HOG:A0229246" "Spermatophyta" "MC"
"69" "TRINITY_DN10119_c0_g1" "HOG:A0237976" "Streptophyta" "MC"
"70" "TRINITY_DN10123_c0_g1" "HOG:A0234920" "Embryophyta" "MC"
"71" "TRINITY_DN1013_c0_g1" "HOG:A0219833" "Magnoliopsida" "MC"
"72" "TRINITY_DN10136_c0_g1" "HOG:A0202991" "Pentapetalae" "MC"
"73" "TRINITY_DN1014_c0_g1" "HOG:A0779738" "LUCA" "UC"
"74" "TRINITY_DN10140_c0_g1" "HOG:A0562312" "Eukaryota" "UC"
"75" "TRINITY_DN10141_c0_g1" "HOG:A0237280" "Streptophyta" "MC"
"76" "TRINITY_DN10144_c0_g1" "HOG:A0234602" "Embryophyta" "MC"
"77" "TRINITY_DN10145_c0_g1" "HOG:A0220737" "Magnoliopsida" "MC"
"78" "TRINITY_DN10148_c0_g1" "HOG:A0575285" "Eukaryota" "UC"
"79" "TRINITY_DN1015_c0_g1" "HOG:A0232768" "Tracheophyta" "MC"
"80" "TRINITY_DN10151_c0_g1" "HOG:A0785719" "LUCA" "UC"
"81" "TRINITY_DN10152_c0_g1" "HOG:A0562394" "Eukaryota" "UC"
"82" "TRINITY_DN10158_c0_g1" "HOG:A0202479" "Pentapetalae" "MC"
"83" "TRINITY_DN10159_c0_g1" "HOG:A0780377" "LUCA" "UC"
