"gene" "hog" "phylostrata" "age"
"1" "TRINITY_DN0_c0_g1" "HOG:A0215712" "Mesangiospermae" "MC"
"2" "TRINITY_DN1_c1_g1" "HOG:A0224267" "Spermatophyta" "MC"
"3" "TRINITY_DN10_c0_g1" "HOG:A0203341" "Pentapetalae" "MC"
"4" "TRINITY_DN100_c0_g1" "HOG:A0174554" "fabids" "MC"
"5" "TRINITY_DN100_c1_g1" "HOG:A0562631" "Eukaryota" "UC"
"6" "TRINITY_DN1000_c0_g1" "HOG:A0237890" "Streptophyta" "MC"
"7" "TRINITY_DN10000_c0_g1" "HOG:A0563157" "Eukaryota" "UC"
"8" "TRINITY_DN10001_c0_g1" "HOG:A0562172" "Eukaryota" "UC"
"9" "TRINITY_DN10002_c0_g1" "HOG:A0780113" "LUCA" "UC"
"10" "TRINITY_DN10003_c0_g1" "HOG:A0234084" "Embryophyta" "MC"
"11" "TRINITY_DN10006_c0_g1" "HOG:A0198716" "rosids" "MC"
"12" "TRINITY_DN10007_c0_g1" "HOG:A0563590" "Eukaryota" "UC"
"13" "TRINITY_DN10007_c0_g2" "HOG:A0563590" "Eukaryota" "UC"
"14" "TRINITY_DN10009_c0_g1" "HOG:A0567037" "Eukaryota" "UC"
"15" "TRINITY_DN1001_c0_g1" "HOG:A0562978" "Eukaryota" "UC"
"16" "TRINITY_DN10012_c0_g1" "HOG:A0234032" "Embryophyta" "MC"
"17" "TRINITY_DN10013_c0_g1" "HOG:A0239199" "Viridiplantae" "UC"
"18" "TRINITY_DN10014_c0_g1" "HOG:A0161742" "campanulids" "MC"
"19" "TRINITY_DN10014_c1_g1" "HOG:A0235551" "Embryophyta" "MC"
"20" "TRINITY_DN10017_c0_g1" "HOG:A0563530" "Eukaryota" "UC"
"21" "TRINITY_DN1002_c0_g1" "HOG:A0234055" "Embryophyta" "MC"
"22" "TRINITY_DN10020_c0_g1" "HOG:A0779814" "LUCA" "UC"
"23" "TRINITY_DN10028_c0_g1" "HOG:A0232857" "Tracheophyta" "MC"
"24" "TRINITY_DN10029_c0_g1" "HOG:A0785684" "LUCA" "UC"
"25" "TRINITY_DN1003_c0_g1" "HOG:A0562468" "Eukaryota" "UC"
"26" "TRINITY_DN10032_c0_g1" "HOG:A0220792" "Magnoliopsida" "MC"
"27" "TRINITY_DN10036_c0_g1" "HOG:A0203810" "Pentapetalae" "MC"
"28" "TRINITY_DN10037_c0_g1" "HOG:A0563258" "Eukaryota" "UC"
"29" "TRINITY_DN10038_c0_g1" "HOG:A0563140" "Eukaryota" "UC"
"30" "TRINITY_DN10039_c0_g1" "HOG:A0220013" "Magnoliopsida" "MC"
"31" "TRINITY_DN1004_c0_g1" "HOG:A0167856" "asterids" "MC"
"32" "TRINITY_DN10040_c0_g1" "HOG:A0563077" "Eukaryota" "UC"
"33" "TRINITY_DN10042_c0_g1" "HOG:A0236580" "Embryophyta" "MC"
"34" "TRINITY_DN10043_c0_g1" "HOG:A0786220" "LUCA" "UC"
"35" "TRINITY_DN10044_c0_g1" "HOG:A0779757" "LUCA" "UC"
"36" "TRINITY_DN10045_c0_g1" "HOG:A0562287" "Eukaryota" "UC"
"37" "TRINITY_DN10046_c0_g1" "HOG:A0233937" "Embryophyta" "MC"
"38" "TRINITY_DN10047_c0_g1" "HOG:A0220667" "Magnoliopsida" "MC"
"39" "TRINITY_DN1005_c0_g1" "HOG:A0238266" "Streptophyta" "MC"
"40" "TRINITY_DN10050_c0_g1" "HOG:A0226601" "Spermatophyta" "MC"
"41" "TRINITY_DN10051_c0_g1" "HOG:A0220271" "Magnoliopsida" "MC"
"42" "TRINITY_DN10052_c0_g1" "HOG:A0206366" "Pentapetalae" "MC"
"43" "TRINITY_DN10053_c0_g1" "HOG:A0563075" "Eukaryota" "UC"
"44" "TRINITY_DN10054_c0_g1" "HOG:A0223305" "Spermatophyta" "MC"
"45" "TRINITY_DN10055_c0_g1" "HOG:A0214450" "Mesangiospermae" "MC"
