"transcript" "hog" "id" "phylostrata" "gene"
"1" "TRINITY_DN0_c0_g1_i2" "HOG:A0215712" 215712 "Mesangiospermae" "TRINITY_DN0_c0_g1"
"2" "TRINITY_DN1_c1_g1_i1" "HOG:A0224267" 224267 "Spermatophyta" "TRINITY_DN1_c1_g1"
"3" "TRINITY_DN10_c0_g1_i1" "HOG:A0203341" 203341 "Pentapetalae" "TRINITY_DN10_c0_g1"
"4" "TRINITY_DN100_c0_g1_i2" "HOG:A0174554" 174554 "fabids" "TRINITY_DN100_c0_g1"
"5" "TRINITY_DN100_c1_g1_i2" "HOG:A0562631" 562631 "Eukaryota" "TRINITY_DN100_c1_g1"
"6" "TRINITY_DN1000_c0_g1_i1" "HOG:A0237890" 237890 "Streptophyta" "TRINITY_DN1000_c0_g1"
"7" "TRINITY_DN10000_c0_g1_i2" "HOG:A0563157" 563157 "Eukaryota" "TRINITY_DN10000_c0_g1"
"8" "TRINITY_DN10001_c0_g1_i1" "HOG:A0562172" 562172 "Eukaryota" "TRINITY_DN10001_c0_g1"
"9" "TRINITY_DN10002_c0_g1_i1" "HOG:A0780113" 780113 "LUCA" "TRINITY_DN10002_c0_g1"
"10" "TRINITY_DN10002_c0_g1_i1" "HOG:A0780113" 780113 "LUCA" "TRINITY_DN10002_c0_g1"
"11" "TRINITY_DN10003_c0_g1_i1" "HOG:A0234084" 234084 "Embryophyta" "TRINITY_DN10003_c0_g1"
"12" "TRINITY_DN10006_c0_g1_i1" "HOG:A0198716" 198716 "rosids" "TRINITY_DN10006_c0_g1"
"13" "TRINITY_DN10007_c0_g1_i1" "HOG:A0563590" 563590 "Eukaryota" "TRINITY_DN10007_c0_g1"
"14" "TRINITY_DN10007_c0_g2_i1" "HOG:A0563590" 563590 "Eukaryota" "TRINITY_DN10007_c0_g2"
"15" "TRINITY_DN10009_c0_g1_i1" "HOG:A0567037" 567037 "Eukaryota" "TRINITY_DN10009_c0_g1"
"16" "TRINITY_DN1001_c0_g1_i1" "HOG:A0562978" 562978 "Eukaryota" "TRINITY_DN1001_c0_g1"
"17" "TRINITY_DN10012_c0_g1_i1" "HOG:A0234032" 234032 "Embryophyta" "TRINITY_DN10012_c0_g1"
"18" "TRINITY_DN10013_c0_g1_i5" "HOG:A0239199" 239199 "Viridiplantae" "TRINITY_DN10013_c0_g1"
"19" "TRINITY_DN10014_c0_g1_i1" "HOG:A0161742" 161742 "campanulids" "TRINITY_DN10014_c0_g1"
"20" "TRINITY_DN10014_c1_g1_i1" "HOG:A0235551" 235551 "Embryophyta" "TRINITY_DN10014_c1_g1"
"21" "TRINITY_DN10017_c0_g1_i1" "HOG:A0563530" 563530 "Eukaryota" "TRINITY_DN10017_c0_g1"
"22" "TRINITY_DN1002_c0_g1_i2" "HOG:A0234055" 234055 "Embryophyta" "TRINITY_DN1002_c0_g1"
"23" "TRINITY_DN10020_c0_g1_i1" "HOG:A0779814" 779814 "LUCA" "TRINITY_DN10020_c0_g1"
"24" "TRINITY_DN10028_c0_g1_i1" "HOG:A0232857" 232857 "Tracheophyta" "TRINITY_DN10028_c0_g1"
"25" "TRINITY_DN10029_c0_g1_i1" "HOG:A0785684" 785684 "LUCA" "TRINITY_DN10029_c0_g1"
"26" "TRINITY_DN1003_c0_g1_i1" "HOG:A0562468" 562468 "Eukaryota" "TRINITY_DN1003_c0_g1"
"27" "TRINITY_DN10032_c0_g1_i1" "HOG:A0220792" 220792 "Magnoliopsida" "TRINITY_DN10032_c0_g1"
"28" "TRINITY_DN10036_c0_g1_i1" "HOG:A0203810" 203810 "Pentapetalae" "TRINITY_DN10036_c0_g1"
"29" "TRINITY_DN10037_c0_g1_i1" "HOG:A0563258" 563258 "Eukaryota" "TRINITY_DN10037_c0_g1"
"30" "TRINITY_DN10038_c0_g1_i1" "HOG:A0563140" 563140 "Eukaryota" "TRINITY_DN10038_c0_g1"
"31" "TRINITY_DN10039_c0_g1_i1" "HOG:A0220013" 220013 "Magnoliopsida" "TRINITY_DN10039_c0_g1"
"32" "TRINITY_DN1004_c0_g1_i2" "HOG:A0167856" 167856 "asterids" "TRINITY_DN1004_c0_g1"
"33" "TRINITY_DN10040_c0_g1_i1" "HOG:A0563077" 563077 "Eukaryota" "TRINITY_DN10040_c0_g1"
"34" "TRINITY_DN10042_c0_g1_i2" "HOG:A0236580" 236580 "Embryophyta" "TRINITY_DN10042_c0_g1"
