"","oma_id","level","level_name","araID","gene_id","age"
"1",15163967,13,"Brassicaceae","ARATH00001","AT1G01010","MC"
"2",15163972,2,"Eukaryota","ARATH00006","AT1G01020","UC"
"3",15163973,10,"Pentapetalae","ARATH00007","AT1G01030","MC"
"4",15163976,2,"Eukaryota","ARATH00010","AT1G01040","UC"
"5",15163977,2,"Eukaryota","ARATH00011","AT1G01050","UC"
"6",15163979,9,"Mesangiospermae","ARATH00013","AT1G01060","MC"
"7",15163981,9,"Mesangiospermae","ARATH00015","AT1G01070","MC"
"8",15163984,8,"Magnoliopsida","ARATH00018","AT1G01080","MC"
"9",15163986,1,"LUCA","ARATH00020","AT1G01090","UC"
"10",15163987,2,"Eukaryota","ARATH00021","AT1G01100","UC"
"11",15163989,5,"Embryophyta","ARATH00023","AT1G01110","MC"
"12",15163991,2,"Eukaryota","ARATH00025","AT1G01120","UC"
"13",15163995,2,"Eukaryota","ARATH00029","AT1G01140","UC"
"14",15163998,13,"Brassicaceae","ARATH00032","AT1G01150","MC"
"15",15163999,10,"Pentapetalae","ARATH00033","AT1G01160","MC"
"16",15164001,4,"Streptophyta","ARATH00035","AT1G01170","MC"
"17",15164002,5,"Embryophyta","ARATH00036","AT1G01180","MC"
"18",15164003,8,"Magnoliopsida","ARATH00037","AT1G01190","MC"
"19",15164005,2,"Eukaryota","ARATH00039","AT1G01200","UC"
"20",15164006,2,"Eukaryota","ARATH00040","AT1G01210","UC"
"21",15164009,2,"Eukaryota","ARATH00043","AT1G01220","UC"
"22",15164011,7,"Spermatophyta","ARATH00045","AT1G01225","MC"
"23",15164012,2,"Eukaryota","ARATH00046","AT1G01230","UC"
"24",15164013,9,"Mesangiospermae","ARATH00047","AT1G01240","MC"
"25",15164014,11,"rosids","ARATH00048","AT1G01250","MC"
"26",15164015,7,"Spermatophyta","ARATH00049","AT1G01260","MC"
"27",15164016,2,"Eukaryota","ARATH00050","AT1G01280","UC"
"28",15164017,1,"LUCA","ARATH00051","AT1G01290","UC"
"29",15164018,5,"Embryophyta","ARATH00052","AT1G01300","MC"
"30",15164019,14,"Arabidopsis","ARATH00053","AT1G01305","MC"
"31",15164020,13,"Brassicaceae","ARATH00054","AT1G01310","MC"
"32",15164023,9,"Mesangiospermae","ARATH00057","AT1G01320","MC"
"33",15164026,11,"rosids","ARATH00060","AT1G01340","MC"
"34",15164027,3,"Viridiplantae","ARATH00061","AT1G01350","UC"
"35",15164029,14,"Arabidopsis","ARATH00063","AT1G01355","MC"
"36",15164031,6,"Tracheophyta","ARATH00065","AT1G01360","MC"
"37",15164032,10,"Pentapetalae","ARATH00066","AT1G01370","MC"
"38",15164034,13,"Brassicaceae","ARATH00068","AT1G01380","MC"
"39",15164037,8,"Magnoliopsida","ARATH00071","AT1G01390","MC"
