"","oma_id","level","level_name","araID","gene_id"
"1",15163967,13,"Brassicaceae","ARATH00001","AT1G01010"
"2",15163972,2,"Eukaryota","ARATH00006","AT1G01020"
"3",15163973,10,"Pentapetalae","ARATH00007","AT1G01030"
"4",15163976,2,"Eukaryota","ARATH00010","AT1G01040"
"5",15163977,2,"Eukaryota","ARATH00011","AT1G01050"
"6",15163979,9,"Mesangiospermae","ARATH00013","AT1G01060"
"7",15163981,9,"Mesangiospermae","ARATH00015","AT1G01070"
"8",15163984,8,"Magnoliopsida","ARATH00018","AT1G01080"
"9",15163986,1,"LUCA","ARATH00020","AT1G01090"
"10",15163987,2,"Eukaryota","ARATH00021","AT1G01100"
"11",15163989,5,"Embryophyta","ARATH00023","AT1G01110"
"12",15163991,2,"Eukaryota","ARATH00025","AT1G01120"
"13",15163995,2,"Eukaryota","ARATH00029","AT1G01140"
"14",15163998,13,"Brassicaceae","ARATH00032","AT1G01150"
"15",15163999,10,"Pentapetalae","ARATH00033","AT1G01160"
"16",15164001,4,"Streptophyta","ARATH00035","AT1G01170"
"17",15164002,5,"Embryophyta","ARATH00036","AT1G01180"
"18",15164003,8,"Magnoliopsida","ARATH00037","AT1G01190"
"19",15164005,2,"Eukaryota","ARATH00039","AT1G01200"
"20",15164006,2,"Eukaryota","ARATH00040","AT1G01210"
"21",15164009,2,"Eukaryota","ARATH00043","AT1G01220"
"22",15164011,7,"Spermatophyta","ARATH00045","AT1G01225"
"23",15164012,2,"Eukaryota","ARATH00046","AT1G01230"
"24",15164013,9,"Mesangiospermae","ARATH00047","AT1G01240"
"25",15164014,11,"rosids","ARATH00048","AT1G01250"
"26",15164015,7,"Spermatophyta","ARATH00049","AT1G01260"
"27",15164016,2,"Eukaryota","ARATH00050","AT1G01280"
"28",15164017,1,"LUCA","ARATH00051","AT1G01290"
"29",15164018,5,"Embryophyta","ARATH00052","AT1G01300"
"30",15164019,14,"Arabidopsis","ARATH00053","AT1G01305"
"31",15164020,13,"Brassicaceae","ARATH00054","AT1G01310"
"32",15164023,9,"Mesangiospermae","ARATH00057","AT1G01320"
"33",15164026,11,"rosids","ARATH00060","AT1G01340"
"34",15164027,3,"Viridiplantae","ARATH00061","AT1G01350"
"35",15164029,14,"Arabidopsis","ARATH00063","AT1G01355"
"36",15164031,6,"Tracheophyta","ARATH00065","AT1G01360"
"37",15164032,10,"Pentapetalae","ARATH00066","AT1G01370"
"38",15164034,13,"Brassicaceae","ARATH00068","AT1G01380"
"39",15164037,8,"Magnoliopsida","ARATH00071","AT1G01390"
"40",15164038,14,"Arabidopsis","ARATH00072","AT1G01400"
"41",15164039,13,"Brassicaceae","ARATH00073","AT1G01410"
"42",15164040,8,"Magnoliopsida","ARATH00074","AT1G01420"
"43",15164042,5,"Embryophyta","ARATH00076","AT1G01430"
"44",15164043,13,"Brassicaceae","ARATH00077","AT1G01440"
"45",15164047,11,"rosids","ARATH00081","AT1G01460"
"46",15164048,5,"Embryophyta","ARATH00082","AT1G01470"
"47",15164049,2,"Eukaryota","ARATH00083","AT1G01480"
"48",15164053,10,"Pentapetalae","ARATH00087","AT1G01490"
"49",15164060,13,"Brassicaceae","ARATH00094","AT1G01530"
"50",15164061,11,"rosids","ARATH00095","AT1G01540"
"51",15164063,6,"Tracheophyta","ARATH00097","AT1G01550"
"52",15164065,2,"Eukaryota","ARATH00099","AT1G01560"
"53",15164068,5,"Embryophyta","ARATH00102","AT1G01570"
"54",15164070,4,"Streptophyta","ARATH00104","AT1G01580"
"55",15164071,4,"Streptophyta","ARATH00105","AT1G01590"
"56",15164072,2,"Eukaryota","ARATH00106","AT1G01600"
"57",15164073,6,"Tracheophyta","ARATH00107","AT1G01610"
"58",15164074,2,"Eukaryota","ARATH00108","AT1G01620"
"59",15164076,2,"Eukaryota","ARATH00110","AT1G01630"
"60",15164077,5,"Embryophyta","ARATH00111","AT1G01640"
"61",15164080,2,"Eukaryota","ARATH00114","AT1G01650"
"62",15164085,13,"Brassicaceae","ARATH00119","AT1G01680"
"63",15164094,1,"LUCA","ARATH00128","AT1G01710"
"64",15164096,8,"Magnoliopsida","ARATH00130","AT1G01720"
"65",15164097,8,"Magnoliopsida","ARATH00131","AT1G01725"
"66",15164098,9,"Mesangiospermae","ARATH00132","AT1G01730"
"67",15164102,2,"Eukaryota","ARATH00136","AT1G01750"
"68",15164104,2,"Eukaryota","ARATH00138","AT1G01760"
"69",15164107,2,"Eukaryota","ARATH00141","AT1G01770"
"70",15164108,2,"Eukaryota","ARATH00142","AT1G01780"
"71",15164109,5,"Embryophyta","ARATH00143","AT1G01790"
"72",15164110,2,"Eukaryota","ARATH00144","AT1G01800"
"73",15164112,14,"Arabidopsis","ARATH00146","AT1G01810"
"74",15164113,3,"Viridiplantae","ARATH00147","AT1G01820"
"75",15164114,5,"Embryophyta","ARATH00148","AT1G01830"
"76",15164115,10,"Pentapetalae","ARATH00149","AT1G01840"
"77",15164116,2,"Eukaryota","ARATH00150","AT1G01860"
"78",15164121,5,"Embryophyta","ARATH00155","AT1G01880"
"79",15164124,1,"LUCA","ARATH00158","AT1G01900"
"80",15164125,1,"LUCA","ARATH00159","AT1G01910"
"81",15164128,5,"Embryophyta","ARATH00162","AT1G01920"
"82",15164133,2,"Eukaryota","ARATH00167","AT1G01930"
"83",15164134,2,"Eukaryota","ARATH00168","AT1G01940"
"84",15164137,4,"Streptophyta","ARATH00171","AT1G01950"
"85",15164139,2,"Eukaryota","ARATH00173","AT1G01960"
"86",15164140,5,"Embryophyta","ARATH00174","AT1G01970"
"87",15164141,2,"Eukaryota","ARATH00175","AT1G01980"
"88",15164142,13,"Brassicaceae","ARATH00176","AT1G01990"
"89",15164143,2,"Eukaryota","ARATH00177","AT1G02000"
"90",15164145,2,"Eukaryota","ARATH00179","AT1G02010"
"91",15164151,1,"LUCA","ARATH00185","AT1G02020"
"92",15164154,13,"Brassicaceae","ARATH00188","AT1G02040"
"93",15164155,2,"Eukaryota","ARATH00189","AT1G02050"
"94",15164156,7,"Spermatophyta","ARATH00190","AT1G02060"
"95",15164158,11,"rosids","ARATH00192","AT1G02065"
"96",15164160,8,"Magnoliopsida","ARATH00194","AT1G02070"
"97",15164162,2,"Eukaryota","ARATH00196","AT1G02080"
"98",15164165,2,"Eukaryota","ARATH00199","AT1G02090"
"99",15164168,2,"Eukaryota","ARATH00202","AT1G02100"
"100",15164169,8,"Magnoliopsida","ARATH00203","AT1G02110"
"101",15164172,6,"Tracheophyta","ARATH00206","AT1G02120"
