"gene" "hog_correct" "hog_id"
"1" "TRINITY_DN10084_c0_g1" "Spermatophyta" "HOG:A0223340"
"2" "TRINITY_DN10164_c0_g1" "Streptophyta" "HOG:A0237127"
"3" "TRINITY_DN1018_c0_g1" "Eukaryota" "HOG:A0566917"
"4" "TRINITY_DN10198_c1_g2" "asterids" "HOG:A0168330"
"5" "TRINITY_DN10262_c0_g1" "Pentapetalae" "HOG:A0202996"
"6" "TRINITY_DN10269_c0_g1" "Spermatophyta" "HOG:A0223986"
"7" "TRINITY_DN1061_c0_g1" "Mesangiospermae" "HOG:A0211930"
"8" "TRINITY_DN10639_c0_g1" "Pentapetalae" "HOG:A0202751"
"9" "TRINITY_DN10649_c0_g1" "Mesangiospermae" "HOG:A0215955"
"10" "TRINITY_DN10704_c0_g1" "rosids" "HOG:A0198574"
"11" "TRINITY_DN1073_c0_g1" "Mesangiospermae" "HOG:A0211924"
"12" "TRINITY_DN10774_c0_g1" "Pentapetalae" "HOG:A0203361"
"13" "TRINITY_DN10891_c0_g1" "Eukaryota" "HOG:A0571006"
"14" "TRINITY_DN10992_c0_g1" "Viridiplantae" "HOG:A0239323"
"15" "TRINITY_DN11043_c0_g1" "Spermatophyta" "HOG:A0223777"
"16" "TRINITY_DN11093_c0_g1" "Eukaryota" "HOG:A0563831"
"17" "TRINITY_DN11125_c2_g1" "campanulids" "HOG:A0161809"
"18" "TRINITY_DN11201_c0_g1" "Embryophyta" "HOG:A0233651"
"19" "TRINITY_DN11203_c0_g1" "Pentapetalae" "HOG:A0206772"
"20" "TRINITY_DN1129_c0_g1" "Neoptera" "HOG:A0442272"
"21" "TRINITY_DN11407_c0_g1" "Embryophyta" "HOG:A0235791"
"22" "TRINITY_DN1147_c0_g1" "Eukaryota" "HOG:A0562820"
"23" "TRINITY_DN1153_c1_g1" "Pentapetalae" "HOG:A0203041"
"24" "TRINITY_DN11536_c0_g1" "Eukaryota" "HOG:A0566824"
"25" "TRINITY_DN11564_c0_g1" "Magnoliopsida" "HOG:A0219577"
"26" "TRINITY_DN11667_c0_g1" "LUCA" "HOG:A0785691"
"27" "TRINITY_DN11670_c0_g1" "Streptophyta" "HOG:A0237477"
"28" "TRINITY_DN11832_c0_g1" "Mesangiospermae" "HOG:A0211906"
"29" "TRINITY_DN11877_c1_g1" "asterids" "HOG:A0168009"
"30" "TRINITY_DN11920_c0_g1" "Eukaryota" "HOG:A0565734"
"31" "TRINITY_DN12085_c0_g1" "Magnoliopsida" "HOG:A0222661"
"32" "TRINITY_DN12260_c0_g1" "Streptophyta" "HOG:A0238309"
"33" "TRINITY_DN12350_c0_g1" "fabids" "HOG:A0174904"
"34" "TRINITY_DN12453_c0_g1" "Embryophyta" "HOG:A0234911"
"35" "TRINITY_DN12781_c0_g1" "Bacteria" "HOG:A0759064"
"36" "TRINITY_DN12975_c0_g1" "asterids" "HOG:A0168297"
"37" "TRINITY_DN13035_c0_g1" "Pentapetalae" "HOG:A0202916"
"38" "TRINITY_DN1318_c0_g1" "Poaceae" "HOG:A0150258"
"39" "TRINITY_DN132_c0_g1" "asterids" "HOG:A0168330"
"40" "TRINITY_DN132_c1_g1" "asterids" "HOG:A0167988"
"41" "TRINITY_DN13291_c0_g3" "asterids" "HOG:A0168052"
"42" "TRINITY_DN13414_c0_g1" "Eukaryota" "HOG:A0562172"
"43" "TRINITY_DN13521_c0_g1" "asterids" "HOG:A0168078"
"44" "TRINITY_DN13659_c0_g1" "asterids" "HOG:A0167594"
"45" "TRINITY_DN13781_c0_g1" "Magnoliopsida" "HOG:A0222409"
"46" "TRINITY_DN13821_c0_g1" "Magnoliopsida" "HOG:A0220081"
"47" "TRINITY_DN13830_c0_g1" "Pentapetalae" "HOG:A0203503"
"48" "TRINITY_DN13849_c0_g1" "Tracheophyta" "HOG:A0232683"
"49" "TRINITY_DN13910_c0_g1" "Eukaryota" "HOG:A0570322"
"50" "TRINITY_DN14401_c0_g1" "Eukaryota" "HOG:A0571802"
"51" "TRINITY_DN14531_c0_g1" "Eukaryota" "HOG:A0562172"
"52" "TRINITY_DN14590_c0_g1" "Opisthokonta" "HOG:A0555000"
"53" "TRINITY_DN14653_c0_g1" "Embryophyta" "HOG:A0236571"
"54" "TRINITY_DN14683_c0_g1" "Neoptera" "HOG:A0443249"
"55" "TRINITY_DN14808_c0_g1" "Eukaryota" "HOG:A0568565"
"56" "TRINITY_DN14813_c0_g2" "Tracheophyta" "HOG:A0232513"
"57" "TRINITY_DN14921_c0_g1" "Eukaryota" "HOG:A0562576"
"58" "TRINITY_DN15106_c0_g1" "Eukaryota" "HOG:A0563228"
"59" "TRINITY_DN1518_c0_g1" "Streptophyta" "HOG:A0238493"
"60" "TRINITY_DN15290_c0_g1" "Fungi" "HOG:A0371330"
"61" "TRINITY_DN15305_c0_g1" "LUCA" "HOG:A0786042"
"62" "TRINITY_DN15316_c0_g1" "Eukaryota" "HOG:A0563881"
"63" "TRINITY_DN15344_c0_g1" "Spermatophyta" "HOG:A0223803"
"64" "TRINITY_DN15389_c0_g1" "asterids" "HOG:A0168428"
"65" "TRINITY_DN15390_c0_g1" "asterids" "HOG:A0168712"
"66" "TRINITY_DN15533_c0_g1" "asterids" "HOG:A0167660"
