"transcript" "Ej_gall_rep1_TranscriptAbundance" "Ej_gall_rep2_TranscriptAbundance" "Ej_gall_rep3_TranscriptAbundance" "Ej_leaf_rep1_TranscriptAbundance" "Ej_leaf_rep2_TranscriptAbundance" "Ej_leaf_rep3_TranscriptAbundance" "hog" "id" "phylostrata" "gene" "mean"
"1" "TRINITY_DN1_c0_g1_i1" 59.064 37.592 90.541 85.959 9.36 83.15 "HOG:A0174554" 174554 "fabids" "TRINITY_DN1_c0_g1" 60.9443333333333
"2" "TRINITY_DN1_c0_g1_i10" 99.088 237.478 62.587 78.114 49.539 42.265 "HOG:A0562631" 562631 "Eukaryota" "TRINITY_DN1_c0_g1" 94.8451666666667
"3" "TRINITY_DN10_c0_g1_i1" 6.981 10.93 1.326 57.964 72.659 23.727 "HOG:A0235713" 235713 "Embryophyta" "TRINITY_DN10_c0_g1" 28.9311666666667
"4" "TRINITY_DN10025_c0_g1_i1" 0.522 1.59 0.558 0.573 0.399 0.386 "HOG:A0562529" 562529 "Eukaryota" "TRINITY_DN10025_c0_g1" 0.671333333333333
"5" "TRINITY_DN10025_c0_g1_i3" 1.994 5.03 3.69 2.798 3.281 1.86 "HOG:A0239688" 239688 "Viridiplantae" "TRINITY_DN10025_c0_g1" 3.10883333333333
"6" "TRINITY_DN10025_c0_g1_i6" 0 0.379 0.525 0 0.579 0.525 "HOG:A0757210" 757210 "Bacteria" "TRINITY_DN10025_c0_g1" 0.334666666666667
"7" "TRINITY_DN10026_c0_g1_i11" 0.921 0.736 0.395 0.525 0.791 0.252 "HOG:A0567053" 567053 "Eukaryota" "TRINITY_DN10026_c0_g1" 0.603333333333333
"8" "TRINITY_DN10026_c0_g1_i8" 0 0.972 0.219 0.241 0.455 0.564 "HOG:A0757233" 757233 "Bacteria" "TRINITY_DN10026_c0_g1" 0.4085
"9" "TRINITY_DN1003_c0_g1_i3" 7.503 4.702 0 23.503 64.323 0 "HOG:A0206342" 206342 "Pentapetalae" "TRINITY_DN1003_c0_g1" 16.6718333333333
"10" "TRINITY_DN1003_c0_g1_i4" 19.519 30.47 38.324 9.407 26.364 42.156 "HOG:A0174224" 174224 "fabids" "TRINITY_DN1003_c0_g1" 27.7066666666667
"11" "TRINITY_DN1008_c1_g1_i1" 2.383 2.197 2.305 2.482 1.224 2.448 "HOG:A0562640" 562640 "Eukaryota" "TRINITY_DN1008_c1_g1" 2.17316666666667
"12" "TRINITY_DN1008_c1_g1_i10" 2.29 2.738 1.862 2.818 2.514 1.903 "HOG:A0223630" 223630 "Spermatophyta" "TRINITY_DN1008_c1_g1" 2.35416666666667
"13" "TRINITY_DN10209_c0_g1_i4" 5.385 6.738 6.252 5.287 6.023 3.38 "HOG:A0562187" 562187 "Eukaryota" "TRINITY_DN10209_c0_g1" 5.51083333333333
"14" "TRINITY_DN1025_c0_g1_i11" 0.867 0.438 0.534 0.985 0.432 0.771 "HOG:A0202542" 202542 "Pentapetalae" "TRINITY_DN1025_c0_g1" 0.671166666666667
"15" "TRINITY_DN10322_c0_g1_i1" 2.787 2.138 2.258 1.005 0.187 0.61 "HOG:A0198025" 198025 "rosids" "TRINITY_DN10322_c0_g1" 1.4975
"16" "TRINITY_DN10333_c0_g1_i11" 0 0 0.086 0 0 0.012 "HOG:A0235752" 235752 "Embryophyta" "TRINITY_DN10333_c0_g1" 0.0163333333333333
"17" "TRINITY_DN10333_c0_g1_i15" 0 0 1.721 0 0 0 "HOG:A0206212" 206212 "Pentapetalae" "TRINITY_DN10333_c0_g1" 0.286833333333333
"18" "TRINITY_DN10367_c0_g1_i3" 0.174 0.116 0.469 0.196 0 0.169 "HOG:A0168059" 168059 "asterids" "TRINITY_DN10367_c0_g1" 0.187333333333333
"19" "TRINITY_DN1043_c0_g1_i10" 0.534 2.553 10.038 1.579 2.179 9.282 "HOG:A0219871" 219871 "Magnoliopsida" "TRINITY_DN1043_c0_g1" 4.36083333333333
"20" "TRINITY_DN1043_c0_g1_i12" 7.82 4.659 6.376 4.622 4.427 5.16 "HOG:A0780900" 780900 "LUCA" "TRINITY_DN1043_c0_g1" 5.51066666666667
"21" "TRINITY_DN1043_c0_g1_i3" 7.072 15.992 2.881 7.732 13.74 3.177 "HOG:A0234877" 234877 "Embryophyta" "TRINITY_DN1043_c0_g1" 8.43233333333333
"22" "TRINITY_DN1043_c0_g1_i7" 6.219 2.975 6.458 5.958 1.643 5.274 "HOG:A0237232" 237232 "Streptophyta" "TRINITY_DN1043_c0_g1" 4.7545
