"transcript" "hog" "id" "phylostrata" "gene"
"1" "TRINITY_DN0_c0_g1_i4" "HOG:A0238626" 238626 "Viridiplantae" "TRINITY_DN0_c0_g1"
"2" "TRINITY_DN1_c0_g1_i1" "HOG:A0174554" 174554 "fabids" "TRINITY_DN1_c0_g1"
"3" "TRINITY_DN1_c0_g1_i10" "HOG:A0562631" 562631 "Eukaryota" "TRINITY_DN1_c0_g1"
"4" "TRINITY_DN10_c0_g1_i1" "HOG:A0235713" 235713 "Embryophyta" "TRINITY_DN10_c0_g1"
"5" "TRINITY_DN10_c0_g1_i1" "HOG:A0566773" 566773 "Eukaryota" "TRINITY_DN10_c0_g1"
"6" "TRINITY_DN10_c0_g1_i2" "HOG:A0566773" 566773 "Eukaryota" "TRINITY_DN10_c0_g1"
"7" "TRINITY_DN1000_c0_g1_i1" "HOG:A0567045" 567045 "Eukaryota" "TRINITY_DN1000_c0_g1"
"8" "TRINITY_DN10001_c0_g1_i2" "HOG:A0562172" 562172 "Eukaryota" "TRINITY_DN10001_c0_g1"
"9" "TRINITY_DN10006_c0_g1_i1" "HOG:A0583011" 583011 "Eukaryota" "TRINITY_DN10006_c0_g1"
"10" "TRINITY_DN10007_c0_g1_i3" "HOG:A0562874" 562874 "Eukaryota" "TRINITY_DN10007_c0_g1"
"11" "TRINITY_DN10007_c0_g1_i3" "HOG:A0566982" 566982 "Eukaryota" "TRINITY_DN10007_c0_g1"
"12" "TRINITY_DN10007_c0_g1_i4" "HOG:A0562874" 562874 "Eukaryota" "TRINITY_DN10007_c0_g1"
"13" "TRINITY_DN10009_c0_g1_i2" "HOG:A0563443" 563443 "Eukaryota" "TRINITY_DN10009_c0_g1"
"14" "TRINITY_DN1001_c0_g1_i1" "HOG:A0236494" 236494 "Embryophyta" "TRINITY_DN1001_c0_g1"
"15" "TRINITY_DN10011_c0_g1_i1" "HOG:A0206487" 206487 "Pentapetalae" "TRINITY_DN10011_c0_g1"
"16" "TRINITY_DN10014_c0_g1_i1" "HOG:A0554823" 554823 "Opisthokonta" "TRINITY_DN10014_c0_g1"
